avg(x),avg(y)
1.3505E+02,3.1311E-23
1.3506E+02,3.1985E-23
1.3731E+02,3.2356E-23
1.3949E+02,3.4000E-23
1.4052E+02,3.5713E-23
1.4170E+02,3.5817E-23
1.4395E+02,3.7310E-23
1.4623E+02,3.8955E-23
1.4638E+02,4.0459E-23
1.4886E+02,4.0637E-23
1.5138E+02,4.2308E-23
1.5221E+02,4.2380E-23
1.5396E+02,4.4174E-23
1.5658E+02,4.4220E-23
1.5864E+02,4.5999E-23
1.5926E+02,4.6203E-23
1.5983E+02,4.7816E-23
1.6199E+02,4.8248E-23
1.6420E+02,4.9652E-23
1.6477E+02,5.0374E-23
1.6485E+02,5.1501E-23
1.6761E+02,5.2580E-23
1.6907E+02,5.3263E-23
1.7031E+02,5.4854E-23
1.7134E+02,5.4950E-23
1.7306E+02,5.6507E-23
1.7413E+02,5.6872E-23
1.7447E+02,5.8342E-23
1.7586E+02,5.8719E-23
1.7792E+02,5.9446E-23
1.7870E+02,6.0430E-23
1.8008E+02,6.0587E-23
1.8160E+02,6.1961E-23
1.8440E+02,6.3282E-23
1.8476E+02,6.3928E-23
1.8592E+02,6.4119E-23
1.8797E+02,6.4190E-23
1.9069E+02,6.6334E-23
1.9125E+02,6.7507E-23
1.9199E+02,6.7950E-23
1.9460E+02,6.9397E-23
1.9517E+02,7.0336E-23
1.9749E+02,7.0540E-23
1.9801E+02,7.0650E-23
1.9831E+02,7.2703E-23
2.0149E+02,7.3494E-23
2.0161E+02,7.4749E-23
2.0456E+02,7.4962E-23
2.0488E+02,7.7124E-23
2.0503E+02,7.8190E-23
2.0833E+02,7.9436E-23
2.0865E+02,8.0575E-23
2.1171E+02,8.2098E-23
2.1195E+02,8.2973E-23
2.1234E+02,8.3926E-23
2.1495E+02,8.5380E-23
2.1536E+02,8.6171E-23
2.1611E+02,8.7825E-23
2.1919E+02,8.8406E-23
2.1965E+02,9.0475E-23
2.1995E+02,9.0647E-23
2.2322E+02,9.2833E-23
2.2333E+02,9.3138E-23
2.2387E+02,9.5036E-23
2.2699E+02,9.5796E-23
2.2769E+02,9.7351E-23
2.2786E+02,9.8698E-23
2.3143E+02,9.9749E-23
2.3194E+02,1.0166E-22
2.3211E+02,1.0222E-22
2.3548E+02,1.0465E-22
2.3579E+02,1.0466E-22
2.3610E+02,1.0689E-22
2.4035E+02,1.0741E-22
2.4132E+02,1.0914E-22
2.4157E+02,1.1020E-22
2.4317E+02,1.1144E-22
2.4392E+02,1.1317E-22
2.4468E+02,1.1378E-22
2.4473E+02,1.1614E-22
2.4724E+02,1.1617E-22
2.4910E+02,1.1848E-22
2.5098E+02,1.1918E-22
2.5269E+02,1.2083E-22
2.5269E+02,1.2248E-22
2.5360E+02,1.2314E-22
2.5440E+02,1.2542E-22
2.5474E+02,1.2590E-22
2.5820E+02,1.2771E-22
2.6110E+02,1.2935E-22
2.6217E+02,1.2996E-22
2.6288E+02,1.3220E-22
2.6290E+02,1.3279E-22
2.6385E+02,1.3444E-22
2.6453E+02,1.3624E-22
2.6769E+02,1.3664E-22
2.7168E+02,1.3876E-22
2.7218E+02,1.3977E-22
2.7258E+02,1.4089E-22
2.7757E+02,1.4305E-22
2.8266E+02,1.4327E-22
2.8308E+02,1.4526E-22
2.8786E+02,1.4682E-22
2.9317E+02,1.4748E-22
2.9862E+02,1.4972E-22
2.9967E+02,1.5034E-22
3.0639E+02,1.5197E-22
3.1336E+02,1.5395E-22
3.1643E+02,1.5421E-22
3.1991E+02,1.5640E-22
3.2665E+02,1.5772E-22
3.3357E+02,1.5857E-22
3.3544E+02,1.6078E-22
3.4227E+02,1.6158E-22
3.4235E+02,1.6294E-22
3.4869E+02,1.6509E-22
3.5054E+02,1.6551E-22
3.5516E+02,1.6725E-22
3.5574E+02,1.6944E-22
3.5913E+02,1.6971E-22
3.6176E+02,1.7161E-22
3.6807E+02,1.7375E-22
3.6908E+02,1.7380E-22
3.7631E+02,1.7579E-22
3.7713E+02,1.7780E-22
3.7741E+02,1.7817E-22
3.8539E+02,1.7973E-22
3.9387E+02,1.8169E-22
4.0055E+02,1.8258E-22
4.0256E+02,1.8367E-22
4.1147E+02,1.8559E-22
4.2119E+02,1.8731E-22
4.2527E+02,1.8753E-22
4.3117E+02,1.8945E-22
4.3476E+02,1.9105E-22
4.4142E+02,1.9132E-22
4.5168E+02,1.9311E-22
