elastic(x),1s5(x),1s4(x),1s3(x),1s2(x),2p10(x),2p9(x),2p8(x),2p7(x),2p6(x),2p5(x),2p4(x),2p3(x),2p2(x),2p1(x),3d6(x),3d5(x),3d3(x),3d4!(x),3d4(x),3d1!!(x),2s5(x),2s4(x),3d1!(x),3d2(x),3s1!!!!(x),3s1!!(x),3s1!!!(x),2s3(x),2s2(x),3s1!(x),4d5(x),3s4(x),4d2(x),4s1!(x),3s2(x),5d5(x),4s4(x),5d2(x),6d5(x),5s1!(x),4s2(x),5s4(x),6d2(x),high(x),ion(x),avg(x)
6.5006E-01,1.2286E+01,1.2362E+01,1.2461E+01,1.2566E+01,1.3645E+01,1.3814E+01,1.3833E+01,1.3891E+01,1.3910E+01,1.4011E+01,1.4021E+01,1.4040E+01,1.4066E+01,1.4218E+01,1.4583E+01,1.4602E+01,1.4641E+01,1.4717E+01,1.4751E+01,1.4801E+01,1.4806E+01,1.4828E+01,1.4837E+01,1.4891E+01,1.4952E+01,1.4972E+01,1.4974E+01,1.4979E+01,1.4993E+01,1.5042E+01,1.5449E+01,1.5586E+01,1.5597E+01,1.5742E+01,1.5760E+01,1.5856E+01,1.5924E+01,1.5928E+01,1.6046E+01,1.6089E+01,1.6098E+01,1.6104E+01,1.6112E+01,1.6398E+01,1.6497E+01,1.4754E+01
6.7880E-01,1.2316E+01,1.2392E+01,1.2491E+01,1.2596E+01,1.3675E+01,1.3844E+01,1.3863E+01,1.3921E+01,1.3940E+01,1.4041E+01,1.4051E+01,1.4070E+01,1.4096E+01,1.4248E+01,1.4613E+01,1.4632E+01,1.4671E+01,1.4747E+01,1.4781E+01,1.4831E+01,1.4836E+01,1.4858E+01,1.4867E+01,1.4921E+01,1.4982E+01,1.5002E+01,1.5004E+01,1.5009E+01,1.5023E+01,1.5072E+01,1.5479E+01,1.5616E+01,1.5627E+01,1.5772E+01,1.5790E+01,1.5886E+01,1.5954E+01,1.5958E+01,1.6076E+01,1.6119E+01,1.6128E+01,1.6134E+01,1.6142E+01,1.6428E+01,1.6528E+01,1.4784E+01
7.0805E-01,1.2347E+01,1.2423E+01,1.2522E+01,1.2627E+01,1.3706E+01,1.3875E+01,1.3894E+01,1.3952E+01,1.3971E+01,1.4072E+01,1.4082E+01,1.4101E+01,1.4127E+01,1.4279E+01,1.4644E+01,1.4663E+01,1.4702E+01,1.4778E+01,1.4812E+01,1.4862E+01,1.4867E+01,1.4889E+01,1.4898E+01,1.4952E+01,1.5013E+01,1.5033E+01,1.5035E+01,1.5040E+01,1.5054E+01,1.5103E+01,1.5510E+01,1.5647E+01,1.5658E+01,1.5803E+01,1.5821E+01,1.5917E+01,1.5985E+01,1.5989E+01,1.6107E+01,1.6150E+01,1.6159E+01,1.6165E+01,1.6173E+01,1.6459E+01,1.6558E+01,1.4815E+01
7.3780E-01,1.2378E+01,1.2454E+01,1.2553E+01,1.2658E+01,1.3737E+01,1.3906E+01,1.3925E+01,1.3983E+01,1.4002E+01,1.4103E+01,1.4113E+01,1.4132E+01,1.4158E+01,1.4310E+01,1.4675E+01,1.4694E+01,1.4733E+01,1.4809E+01,1.4843E+01,1.4893E+01,1.4898E+01,1.4920E+01,1.4929E+01,1.4983E+01,1.5044E+01,1.5064E+01,1.5066E+01,1.5071E+01,1.5085E+01,1.5134E+01,1.5541E+01,1.5678E+01,1.5689E+01,1.5834E+01,1.5852E+01,1.5948E+01,1.6016E+01,1.6020E+01,1.6138E+01,1.6181E+01,1.6190E+01,1.6196E+01,1.6204E+01,1.6490E+01,1.6590E+01,1.4846E+01
7.6807E-01,1.2410E+01,1.2486E+01,1.2585E+01,1.2690E+01,1.3769E+01,1.3938E+01,1.3957E+01,1.4015E+01,1.4034E+01,1.4135E+01,1.4145E+01,1.4164E+01,1.4190E+01,1.4342E+01,1.4707E+01,1.4726E+01,1.4765E+01,1.4841E+01,1.4875E+01,1.4925E+01,1.4930E+01,1.4952E+01,1.4961E+01,1.5015E+01,1.5076E+01,1.5096E+01,1.5098E+01,1.5103E+01,1.5117E+01,1.5166E+01,1.5573E+01,1.5710E+01,1.5721E+01,1.5866E+01,1.5884E+01,1.5980E+01,1.6048E+01,1.6052E+01,1.6170E+01,1.6213E+01,1.6222E+01,1.6228E+01,1.6236E+01,1.6522E+01,1.6622E+01,1.4878E+01
7.9887E-01,1.2443E+01,1.2519E+01,1.2618E+01,1.2723E+01,1.3802E+01,1.3971E+01,1.3990E+01,1.4048E+01,1.4067E+01,1.4168E+01,1.4178E+01,1.4197E+01,1.4223E+01,1.4375E+01,1.4740E+01,1.4759E+01,1.4798E+01,1.4874E+01,1.4908E+01,1.4958E+01,1.4963E+01,1.4985E+01,1.4994E+01,1.5048E+01,1.5109E+01,1.5129E+01,1.5131E+01,1.5136E+01,1.5150E+01,1.5199E+01,1.5606E+01,1.5743E+01,1.5754E+01,1.5899E+01,1.5917E+01,1.6013E+01,1.6081E+01,1.6085E+01,1.6203E+01,1.6246E+01,1.6255E+01,1.6261E+01,1.6269E+01,1.6555E+01,1.6654E+01,1.4911E+01
8.3021E-01,1.2476E+01,1.2552E+01,1.2651E+01,1.2756E+01,1.3835E+01,1.4004E+01,1.4023E+01,1.4081E+01,1.4100E+01,1.4201E+01,1.4211E+01,1.4230E+01,1.4256E+01,1.4408E+01,1.4773E+01,1.4792E+01,1.4831E+01,1.4907E+01,1.4941E+01,1.4991E+01,1.4996E+01,1.5018E+01,1.5027E+01,1.5081E+01,1.5142E+01,1.5162E+01,1.5164E+01,1.5169E+01,1.5183E+01,1.5232E+01,1.5639E+01,1.5776E+01,1.5787E+01,1.5932E+01,1.5950E+01,1.6046E+01,1.6114E+01,1.6118E+01,1.6236E+01,1.6279E+01,1.6288E+01,1.6294E+01,1.6302E+01,1.6588E+01,1.6687E+01,1.4944E+01
8.6209E-01,1.2509E+01,1.2585E+01,1.2684E+01,1.2789E+01,1.3868E+01,1.4037E+01,1.4056E+01,1.4114E+01,1.4133E+01,1.4234E+01,1.4244E+01,1.4263E+01,1.4289E+01,1.4441E+01,1.4806E+01,1.4825E+01,1.4864E+01,1.4940E+01,1.4974E+01,1.5024E+01,1.5029E+01,1.5051E+01,1.5060E+01,1.5114E+01,1.5175E+01,1.5195E+01,1.5197E+01,1.5202E+01,1.5216E+01,1.5265E+01,1.5672E+01,1.5809E+01,1.5820E+01,1.5965E+01,1.5983E+01,1.6079E+01,1.6147E+01,1.6151E+01,1.6269E+01,1.6312E+01,1.6321E+01,1.6327E+01,1.6335E+01,1.6621E+01,1.6721E+01,1.4977E+01
8.9452E-01,1.2543E+01,1.2619E+01,1.2718E+01,1.2823E+01,1.3902E+01,1.4071E+01,1.4090E+01,1.4148E+01,1.4167E+01,1.4268E+01,1.4278E+01,1.4297E+01,1.4323E+01,1.4475E+01,1.4840E+01,1.4859E+01,1.4898E+01,1.4974E+01,1.5008E+01,1.5058E+01,1.5063E+01,1.5085E+01,1.5094E+01,1.5148E+01,1.5209E+01,1.5229E+01,1.5231E+01,1.5236E+01,1.5250E+01,1.5299E+01,1.5706E+01,1.5843E+01,1.5854E+01,1.5999E+01,1.6017E+01,1.6113E+01,1.6181E+01,1.6185E+01,1.6303E+01,1.6346E+01,1.6355E+01,1.6361E+01,1.6369E+01,1.6655E+01,1.6755E+01,1.5011E+01
9.2752E-01,1.2578E+01,1.2654E+01,1.2753E+01,1.2858E+01,1.3937E+01,1.4106E+01,1.4125E+01,1.4183E+01,1.4202E+01,1.4303E+01,1.4313E+01,1.4332E+01,1.4358E+01,1.4510E+01,1.4875E+01,1.4894E+01,1.4933E+01,1.5009E+01,1.5043E+01,1.5093E+01,1.5098E+01,1.5120E+01,1.5129E+01,1.5183E+01,1.5244E+01,1.5264E+01,1.5266E+01,1.5271E+01,1.5285E+01,1.5334E+01,1.5741E+01,1.5878E+01,1.5889E+01,1.6034E+01,1.6052E+01,1.6148E+01,1.6216E+01,1.6220E+01,1.6338E+01,1.6381E+01,1.6390E+01,1.6396E+01,1.6404E+01,1.6690E+01,1.6790E+01,1.5046E+01
9.6110E-01,1.2613E+01,1.2689E+01,1.2788E+01,1.2893E+01,1.3972E+01,1.4141E+01,1.4160E+01,1.4218E+01,1.4237E+01,1.4338E+01,1.4348E+01,1.4367E+01,1.4393E+01,1.4545E+01,1.4910E+01,1.4929E+01,1.4968E+01,1.5044E+01,1.5078E+01,1.5128E+01,1.5133E+01,1.5155E+01,1.5164E+01,1.5218E+01,1.5279E+01,1.5299E+01,1.5301E+01,1.5306E+01,1.5320E+01,1.5369E+01,1.5776E+01,1.5913E+01,1.5924E+01,1.6069E+01,1.6087E+01,1.6183E+01,1.6251E+01,1.6255E+01,1.6373E+01,1.6416E+01,1.6425E+01,1.6431E+01,1.6439E+01,1.6725E+01,1.6825E+01,1.5081E+01
9.9526E-01,1.2649E+01,1.2725E+01,1.2824E+01,1.2929E+01,1.4008E+01,1.4177E+01,1.4196E+01,1.4254E+01,1.4273E+01,1.4374E+01,1.4384E+01,1.4403E+01,1.4429E+01,1.4581E+01,1.4946E+01,1.4965E+01,1.5004E+01,1.5080E+01,1.5114E+01,1.5164E+01,1.5169E+01,1.5191E+01,1.5200E+01,1.5254E+01,1.5315E+01,1.5335E+01,1.5337E+01,1.5342E+01,1.5356E+01,1.5405E+01,1.5812E+01,1.5949E+01,1.5960E+01,1.6105E+01,1.6123E+01,1.6219E+01,1.6287E+01,1.6291E+01,1.6409E+01,1.6452E+01,1.6461E+01,1.6467E+01,1.6475E+01,1.6761E+01,1.6861E+01,1.5117E+01
1.0300E+00,1.2686E+01,1.2762E+01,1.2861E+01,1.2966E+01,1.4045E+01,1.4214E+01,1.4233E+01,1.4291E+01,1.4310E+01,1.4411E+01,1.4421E+01,1.4440E+01,1.4466E+01,1.4618E+01,1.4983E+01,1.5002E+01,1.5041E+01,1.5117E+01,1.5151E+01,1.5201E+01,1.5206E+01,1.5228E+01,1.5237E+01,1.5291E+01,1.5352E+01,1.5372E+01,1.5374E+01,1.5379E+01,1.5393E+01,1.5442E+01,1.5849E+01,1.5986E+01,1.5997E+01,1.6142E+01,1.6160E+01,1.6256E+01,1.6324E+01,1.6328E+01,1.6446E+01,1.6489E+01,1.6498E+01,1.6504E+01,1.6512E+01,1.6798E+01,1.6898E+01,1.5154E+01
1.0654E+00,1.2723E+01,1.2799E+01,1.2898E+01,1.3003E+01,1.4082E+01,1.4251E+01,1.4270E+01,1.4328E+01,1.4347E+01,1.4448E+01,1.4458E+01,1.4477E+01,1.4503E+01,1.4655E+01,1.5020E+01,1.5039E+01,1.5078E+01,1.5154E+01,1.5188E+01,1.5238E+01,1.5243E+01,1.5265E+01,1.5274E+01,1.5328E+01,1.5389E+01,1.5409E+01,1.5411E+01,1.5416E+01,1.5430E+01,1.5479E+01,1.5886E+01,1.6023E+01,1.6034E+01,1.6179E+01,1.6197E+01,1.6293E+01,1.6361E+01,1.6365E+01,1.6483E+01,1.6526E+01,1.6535E+01,1.6541E+01,1.6549E+01,1.6835E+01,1.6935E+01,1.5191E+01
1.1014E+00,1.2761E+01,1.2837E+01,1.2936E+01,1.3041E+01,1.4120E+01,1.4289E+01,1.4308E+01,1.4366E+01,1.4385E+01,1.4486E+01,1.4496E+01,1.4515E+01,1.4541E+01,1.4693E+01,1.5058E+01,1.5077E+01,1.5116E+01,1.5192E+01,1.5226E+01,1.5276E+01,1.5281E+01,1.5303E+01,1.5312E+01,1.5366E+01,1.5427E+01,1.5447E+01,1.5449E+01,1.5454E+01,1.5468E+01,1.5517E+01,1.5924E+01,1.6061E+01,1.6072E+01,1.6217E+01,1.6235E+01,1.6331E+01,1.6399E+01,1.6403E+01,1.6521E+01,1.6564E+01,1.6573E+01,1.6579E+01,1.6587E+01,1.6873E+01,1.6973E+01,1.5229E+01
1.1380E+00,1.2800E+01,1.2876E+01,1.2975E+01,1.3080E+01,1.4159E+01,1.4328E+01,1.4347E+01,1.4405E+01,1.4424E+01,1.4525E+01,1.4535E+01,1.4554E+01,1.4580E+01,1.4732E+01,1.5097E+01,1.5116E+01,1.5155E+01,1.5231E+01,1.5265E+01,1.5315E+01,1.5320E+01,1.5342E+01,1.5351E+01,1.5405E+01,1.5466E+01,1.5486E+01,1.5488E+01,1.5493E+01,1.5507E+01,1.5556E+01,1.5963E+01,1.6100E+01,1.6111E+01,1.6256E+01,1.6274E+01,1.6370E+01,1.6438E+01,1.6442E+01,1.6560E+01,1.6603E+01,1.6612E+01,1.6618E+01,1.6626E+01,1.6912E+01,1.7011E+01,1.5268E+01
1.1752E+00,1.2839E+01,1.2915E+01,1.3014E+01,1.3119E+01,1.4198E+01,1.4367E+01,1.4386E+01,1.4444E+01,1.4463E+01,1.4564E+01,1.4574E+01,1.4593E+01,1.4619E+01,1.4771E+01,1.5136E+01,1.5155E+01,1.5194E+01,1.5270E+01,1.5304E+01,1.5354E+01,1.5359E+01,1.5381E+01,1.5390E+01,1.5444E+01,1.5505E+01,1.5525E+01,1.5527E+01,1.5532E+01,1.5546E+01,1.5595E+01,1.6002E+01,1.6139E+01,1.6150E+01,1.6295E+01,1.6313E+01,1.6409E+01,1.6477E+01,1.6481E+01,1.6599E+01,1.6642E+01,1.6651E+01,1.6657E+01,1.6665E+01,1.6951E+01,1.7050E+01,1.5307E+01
1.2131E+00,1.2879E+01,1.2955E+01,1.3054E+01,1.3159E+01,1.4238E+01,1.4407E+01,1.4426E+01,1.4484E+01,1.4503E+01,1.4604E+01,1.4614E+01,1.4633E+01,1.4659E+01,1.4811E+01,1.5176E+01,1.5195E+01,1.5234E+01,1.5310E+01,1.5344E+01,1.5394E+01,1.5399E+01,1.5421E+01,1.5430E+01,1.5484E+01,1.5545E+01,1.5565E+01,1.5567E+01,1.5572E+01,1.5586E+01,1.5635E+01,1.6042E+01,1.6179E+01,1.6190E+01,1.6335E+01,1.6353E+01,1.6449E+01,1.6517E+01,1.6521E+01,1.6639E+01,1.6682E+01,1.6691E+01,1.6697E+01,1.6705E+01,1.6991E+01,1.7090E+01,1.5347E+01
1.2516E+00,1.2919E+01,1.2995E+01,1.3094E+01,1.3199E+01,1.4278E+01,1.4447E+01,1.4466E+01,1.4524E+01,1.4543E+01,1.4644E+01,1.4654E+01,1.4673E+01,1.4699E+01,1.4851E+01,1.5216E+01,1.5235E+01,1.5274E+01,1.5350E+01,1.5384E+01,1.5434E+01,1.5439E+01,1.5461E+01,1.5470E+01,1.5524E+01,1.5585E+01,1.5605E+01,1.5607E+01,1.5612E+01,1.5626E+01,1.5675E+01,1.6082E+01,1.6219E+01,1.6230E+01,1.6375E+01,1.6393E+01,1.6489E+01,1.6557E+01,1.6561E+01,1.6679E+01,1.6722E+01,1.6731E+01,1.6737E+01,1.6745E+01,1.7031E+01,1.7131E+01,1.5387E+01
1.2909E+00,1.2961E+01,1.3037E+01,1.3136E+01,1.3241E+01,1.4320E+01,1.4489E+01,1.4508E+01,1.4566E+01,1.4585E+01,1.4686E+01,1.4696E+01,1.4715E+01,1.4741E+01,1.4893E+01,1.5258E+01,1.5277E+01,1.5316E+01,1.5392E+01,1.5426E+01,1.5476E+01,1.5481E+01,1.5503E+01,1.5512E+01,1.5566E+01,1.5627E+01,1.5647E+01,1.5649E+01,1.5654E+01,1.5668E+01,1.5717E+01,1.6124E+01,1.6261E+01,1.6272E+01,1.6417E+01,1.6435E+01,1.6531E+01,1.6599E+01,1.6603E+01,1.6721E+01,1.6764E+01,1.6773E+01,1.6779E+01,1.6787E+01,1.7073E+01,1.7172E+01,1.5429E+01
1.3308E+00,1.3003E+01,1.3079E+01,1.3178E+01,1.3283E+01,1.4362E+01,1.4531E+01,1.4550E+01,1.4608E+01,1.4627E+01,1.4728E+01,1.4738E+01,1.4757E+01,1.4783E+01,1.4935E+01,1.5300E+01,1.5319E+01,1.5358E+01,1.5434E+01,1.5468E+01,1.5518E+01,1.5523E+01,1.5545E+01,1.5554E+01,1.5608E+01,1.5669E+01,1.5689E+01,1.5691E+01,1.5696E+01,1.5710E+01,1.5759E+01,1.6166E+01,1.6303E+01,1.6314E+01,1.6459E+01,1.6477E+01,1.6573E+01,1.6641E+01,1.6645E+01,1.6763E+01,1.6806E+01,1.6815E+01,1.6821E+01,1.6829E+01,1.7115E+01,1.7214E+01,1.5471E+01
1.3714E+00,1.3045E+01,1.3121E+01,1.3220E+01,1.3325E+01,1.4404E+01,1.4573E+01,1.4592E+01,1.4650E+01,1.4669E+01,1.4770E+01,1.4780E+01,1.4799E+01,1.4825E+01,1.4977E+01,1.5342E+01,1.5361E+01,1.5400E+01,1.5476E+01,1.5510E+01,1.5560E+01,1.5565E+01,1.5587E+01,1.5596E+01,1.5650E+01,1.5711E+01,1.5731E+01,1.5733E+01,1.5738E+01,1.5752E+01,1.5801E+01,1.6208E+01,1.6345E+01,1.6356E+01,1.6501E+01,1.6519E+01,1.6615E+01,1.6683E+01,1.6687E+01,1.6805E+01,1.6848E+01,1.6857E+01,1.6863E+01,1.6871E+01,1.7157E+01,1.7257E+01,1.5513E+01
1.4127E+00,1.3089E+01,1.3165E+01,1.3264E+01,1.3369E+01,1.4448E+01,1.4617E+01,1.4636E+01,1.4694E+01,1.4713E+01,1.4814E+01,1.4824E+01,1.4843E+01,1.4869E+01,1.5021E+01,1.5386E+01,1.5405E+01,1.5444E+01,1.5520E+01,1.5554E+01,1.5604E+01,1.5609E+01,1.5631E+01,1.5640E+01,1.5694E+01,1.5755E+01,1.5775E+01,1.5777E+01,1.5782E+01,1.5796E+01,1.5845E+01,1.6252E+01,1.6389E+01,1.6400E+01,1.6545E+01,1.6563E+01,1.6659E+01,1.6727E+01,1.6731E+01,1.6849E+01,1.6892E+01,1.6901E+01,1.6907E+01,1.6915E+01,1.7201E+01,1.7301E+01,1.5557E+01
1.4547E+00,1.3133E+01,1.3209E+01,1.3308E+01,1.3413E+01,1.4492E+01,1.4661E+01,1.4680E+01,1.4738E+01,1.4757E+01,1.4858E+01,1.4868E+01,1.4887E+01,1.4913E+01,1.5065E+01,1.5430E+01,1.5449E+01,1.5488E+01,1.5564E+01,1.5598E+01,1.5648E+01,1.5653E+01,1.5675E+01,1.5684E+01,1.5738E+01,1.5799E+01,1.5819E+01,1.5821E+01,1.5826E+01,1.5840E+01,1.5889E+01,1.6296E+01,1.6433E+01,1.6444E+01,1.6589E+01,1.6607E+01,1.6703E+01,1.6771E+01,1.6775E+01,1.6893E+01,1.6936E+01,1.6945E+01,1.6951E+01,1.6959E+01,1.7245E+01,1.7345E+01,1.5601E+01
1.4975E+00,1.3178E+01,1.3254E+01,1.3353E+01,1.3458E+01,1.4537E+01,1.4706E+01,1.4725E+01,1.4783E+01,1.4802E+01,1.4903E+01,1.4913E+01,1.4932E+01,1.4958E+01,1.5110E+01,1.5475E+01,1.5494E+01,1.5533E+01,1.5609E+01,1.5643E+01,1.5693E+01,1.5698E+01,1.5720E+01,1.5729E+01,1.5783E+01,1.5844E+01,1.5864E+01,1.5866E+01,1.5871E+01,1.5885E+01,1.5934E+01,1.6341E+01,1.6478E+01,1.6489E+01,1.6634E+01,1.6652E+01,1.6748E+01,1.6816E+01,1.6820E+01,1.6938E+01,1.6981E+01,1.6990E+01,1.6996E+01,1.7004E+01,1.7290E+01,1.7390E+01,1.5646E+01
1.5410E+00,1.3224E+01,1.3300E+01,1.3399E+01,1.3504E+01,1.4583E+01,1.4752E+01,1.4771E+01,1.4829E+01,1.4848E+01,1.4949E+01,1.4959E+01,1.4978E+01,1.5004E+01,1.5156E+01,1.5521E+01,1.5540E+01,1.5579E+01,1.5655E+01,1.5689E+01,1.5739E+01,1.5744E+01,1.5766E+01,1.5775E+01,1.5829E+01,1.5890E+01,1.5910E+01,1.5912E+01,1.5917E+01,1.5931E+01,1.5980E+01,1.6387E+01,1.6524E+01,1.6535E+01,1.6680E+01,1.6698E+01,1.6794E+01,1.6862E+01,1.6866E+01,1.6984E+01,1.7027E+01,1.7036E+01,1.7042E+01,1.7050E+01,1.7336E+01,1.7436E+01,1.5692E+01
1.5852E+00,1.3271E+01,1.3347E+01,1.3446E+01,1.3551E+01,1.4630E+01,1.4799E+01,1.4818E+01,1.4876E+01,1.4895E+01,1.4996E+01,1.5006E+01,1.5025E+01,1.5051E+01,1.5203E+01,1.5568E+01,1.5587E+01,1.5626E+01,1.5702E+01,1.5736E+01,1.5786E+01,1.5791E+01,1.5813E+01,1.5822E+01,1.5876E+01,1.5937E+01,1.5957E+01,1.5959E+01,1.5964E+01,1.5978E+01,1.6027E+01,1.6434E+01,1.6571E+01,1.6582E+01,1.6727E+01,1.6745E+01,1.6841E+01,1.6909E+01,1.6913E+01,1.7031E+01,1.7074E+01,1.7083E+01,1.7089E+01,1.7097E+01,1.7383E+01,1.7482E+01,1.5739E+01
1.6303E+00,1.3318E+01,1.3394E+01,1.3493E+01,1.3598E+01,1.4677E+01,1.4846E+01,1.4865E+01,1.4923E+01,1.4942E+01,1.5043E+01,1.5053E+01,1.5072E+01,1.5098E+01,1.5250E+01,1.5615E+01,1.5634E+01,1.5673E+01,1.5749E+01,1.5783E+01,1.5833E+01,1.5838E+01,1.5860E+01,1.5869E+01,1.5923E+01,1.5984E+01,1.6004E+01,1.6006E+01,1.6011E+01,1.6025E+01,1.6074E+01,1.6481E+01,1.6618E+01,1.6629E+01,1.6774E+01,1.6792E+01,1.6888E+01,1.6956E+01,1.6960E+01,1.7078E+01,1.7121E+01,1.7130E+01,1.7136E+01,1.7144E+01,1.7430E+01,1.7530E+01,1.5786E+01
1.6761E+00,1.3366E+01,1.3442E+01,1.3541E+01,1.3646E+01,1.4725E+01,1.4894E+01,1.4913E+01,1.4971E+01,1.4990E+01,1.5091E+01,1.5101E+01,1.5120E+01,1.5146E+01,1.5298E+01,1.5663E+01,1.5682E+01,1.5721E+01,1.5797E+01,1.5831E+01,1.5881E+01,1.5886E+01,1.5908E+01,1.5917E+01,1.5971E+01,1.6032E+01,1.6052E+01,1.6054E+01,1.6059E+01,1.6073E+01,1.6122E+01,1.6529E+01,1.6666E+01,1.6677E+01,1.6822E+01,1.6840E+01,1.6936E+01,1.7004E+01,1.7008E+01,1.7126E+01,1.7169E+01,1.7178E+01,1.7184E+01,1.7192E+01,1.7478E+01,1.7578E+01,1.5834E+01
1.7227E+00,1.3415E+01,1.3491E+01,1.3590E+01,1.3695E+01,1.4774E+01,1.4943E+01,1.4962E+01,1.5020E+01,1.5039E+01,1.5140E+01,1.5150E+01,1.5169E+01,1.5195E+01,1.5347E+01,1.5712E+01,1.5731E+01,1.5770E+01,1.5846E+01,1.5880E+01,1.5930E+01,1.5935E+01,1.5957E+01,1.5966E+01,1.6020E+01,1.6081E+01,1.6101E+01,1.6103E+01,1.6108E+01,1.6122E+01,1.6171E+01,1.6578E+01,1.6715E+01,1.6726E+01,1.6871E+01,1.6889E+01,1.6985E+01,1.7053E+01,1.7057E+01,1.7175E+01,1.7218E+01,1.7227E+01,1.7233E+01,1.7241E+01,1.7527E+01,1.7627E+01,1.5883E+01
1.7701E+00,1.3465E+01,1.3541E+01,1.3640E+01,1.3745E+01,1.4824E+01,1.4993E+01,1.5012E+01,1.5070E+01,1.5089E+01,1.5190E+01,1.5200E+01,1.5219E+01,1.5245E+01,1.5397E+01,1.5762E+01,1.5781E+01,1.5820E+01,1.5896E+01,1.5930E+01,1.5980E+01,1.5985E+01,1.6007E+01,1.6016E+01,1.6070E+01,1.6131E+01,1.6151E+01,1.6153E+01,1.6158E+01,1.6172E+01,1.6221E+01,1.6628E+01,1.6765E+01,1.6776E+01,1.6921E+01,1.6939E+01,1.7035E+01,1.7103E+01,1.7107E+01,1.7225E+01,1.7268E+01,1.7277E+01,1.7283E+01,1.7291E+01,1.7577E+01,1.7677E+01,1.5933E+01
1.8184E+00,1.3516E+01,1.3592E+01,1.3691E+01,1.3796E+01,1.4875E+01,1.5044E+01,1.5063E+01,1.5121E+01,1.5140E+01,1.5241E+01,1.5251E+01,1.5270E+01,1.5296E+01,1.5448E+01,1.5813E+01,1.5832E+01,1.5871E+01,1.5947E+01,1.5981E+01,1.6031E+01,1.6036E+01,1.6058E+01,1.6067E+01,1.6121E+01,1.6182E+01,1.6202E+01,1.6204E+01,1.6209E+01,1.6223E+01,1.6272E+01,1.6679E+01,1.6816E+01,1.6827E+01,1.6972E+01,1.6990E+01,1.7086E+01,1.7154E+01,1.7158E+01,1.7276E+01,1.7319E+01,1.7328E+01,1.7334E+01,1.7342E+01,1.7628E+01,1.7728E+01,1.5984E+01
1.8675E+00,1.3568E+01,1.3644E+01,1.3743E+01,1.3848E+01,1.4927E+01,1.5096E+01,1.5115E+01,1.5173E+01,1.5192E+01,1.5293E+01,1.5303E+01,1.5322E+01,1.5348E+01,1.5500E+01,1.5865E+01,1.5884E+01,1.5923E+01,1.5999E+01,1.6033E+01,1.6083E+01,1.6088E+01,1.6110E+01,1.6119E+01,1.6173E+01,1.6234E+01,1.6254E+01,1.6256E+01,1.6261E+01,1.6275E+01,1.6324E+01,1.6731E+01,1.6868E+01,1.6879E+01,1.7024E+01,1.7042E+01,1.7138E+01,1.7206E+01,1.7210E+01,1.7328E+01,1.7371E+01,1.7380E+01,1.7386E+01,1.7394E+01,1.7680E+01,1.7780E+01,1.6036E+01
1.9174E+00,1.3621E+01,1.3697E+01,1.3796E+01,1.3901E+01,1.4980E+01,1.5149E+01,1.5168E+01,1.5226E+01,1.5245E+01,1.5346E+01,1.5356E+01,1.5375E+01,1.5401E+01,1.5553E+01,1.5918E+01,1.5937E+01,1.5976E+01,1.6052E+01,1.6086E+01,1.6136E+01,1.6141E+01,1.6163E+01,1.6172E+01,1.6226E+01,1.6287E+01,1.6307E+01,1.6309E+01,1.6314E+01,1.6328E+01,1.6377E+01,1.6784E+01,1.6921E+01,1.6932E+01,1.7077E+01,1.7095E+01,1.7191E+01,1.7259E+01,1.7263E+01,1.7381E+01,1.7424E+01,1.7433E+01,1.7439E+01,1.7447E+01,1.7733E+01,1.7832E+01,1.6089E+01
1.9682E+00,1.3674E+01,1.3750E+01,1.3849E+01,1.3954E+01,1.5033E+01,1.5202E+01,1.5221E+01,1.5279E+01,1.5298E+01,1.5399E+01,1.5409E+01,1.5428E+01,1.5454E+01,1.5606E+01,1.5971E+01,1.5990E+01,1.6029E+01,1.6105E+01,1.6139E+01,1.6189E+01,1.6194E+01,1.6216E+01,1.6225E+01,1.6279E+01,1.6340E+01,1.6360E+01,1.6362E+01,1.6367E+01,1.6381E+01,1.6430E+01,1.6837E+01,1.6974E+01,1.6985E+01,1.7130E+01,1.7148E+01,1.7244E+01,1.7312E+01,1.7316E+01,1.7434E+01,1.7477E+01,1.7486E+01,1.7492E+01,1.7500E+01,1.7786E+01,1.7886E+01,1.6142E+01
2.0200E+00,1.3729E+01,1.3805E+01,1.3904E+01,1.4009E+01,1.5088E+01,1.5257E+01,1.5276E+01,1.5334E+01,1.5353E+01,1.5454E+01,1.5464E+01,1.5483E+01,1.5509E+01,1.5661E+01,1.6026E+01,1.6045E+01,1.6084E+01,1.6160E+01,1.6194E+01,1.6244E+01,1.6249E+01,1.6271E+01,1.6280E+01,1.6334E+01,1.6395E+01,1.6415E+01,1.6417E+01,1.6422E+01,1.6436E+01,1.6485E+01,1.6892E+01,1.7029E+01,1.7040E+01,1.7185E+01,1.7203E+01,1.7299E+01,1.7367E+01,1.7371E+01,1.7489E+01,1.7532E+01,1.7541E+01,1.7547E+01,1.7555E+01,1.7841E+01,1.7940E+01,1.6197E+01
