elastic(x),1s5(x),1s4(x),1s3(x),1s2(x),2p10(x),2p9(x),2p8(x),2p7(x),2p6(x),2p5(x),2p4(x),2p3(x),2p2(x),2p1(x),3d6(x),3d5(x),3d3(x),3d4!(x),3d4(x),3d1!!(x),2s5(x),2s4(x),3d1!(x),3d2(x),3s1!!!!(x),3s1!!(x),3s1!!!(x),2s3(x),2s2(x),3s1!(x),4d5(x),3s4(x),4d2(x),4s1!(x),3s2(x),5d5(x),4s4(x),5d2(x),6d5(x),5s1!(x),4s2(x),5s4(x),6d2(x),high(x),ion(x),avg(x)
1.0917E-01,1.1716E+01,1.1792E+01,1.1891E+01,1.1996E+01,1.3075E+01,1.3244E+01,1.3263E+01,1.3321E+01,1.3340E+01,1.3441E+01,1.3451E+01,1.3470E+01,1.3496E+01,1.3648E+01,1.4013E+01,1.4032E+01,1.4071E+01,1.4147E+01,1.4181E+01,1.4231E+01,1.4236E+01,1.4258E+01,1.4267E+01,1.4321E+01,1.4382E+01,1.4402E+01,1.4404E+01,1.4409E+01,1.4423E+01,1.4472E+01,1.4879E+01,1.5016E+01,1.5027E+01,1.5172E+01,1.5190E+01,1.5286E+01,1.5354E+01,1.5358E+01,1.5476E+01,1.5519E+01,1.5528E+01,1.5534E+01,1.5542E+01,1.5828E+01,1.5928E+01,1.4184E+01
1.2850E-01,1.1737E+01,1.1813E+01,1.1912E+01,1.2017E+01,1.3096E+01,1.3265E+01,1.3284E+01,1.3342E+01,1.3361E+01,1.3462E+01,1.3472E+01,1.3491E+01,1.3517E+01,1.3669E+01,1.4034E+01,1.4053E+01,1.4092E+01,1.4168E+01,1.4202E+01,1.4252E+01,1.4257E+01,1.4279E+01,1.4288E+01,1.4342E+01,1.4403E+01,1.4423E+01,1.4425E+01,1.4430E+01,1.4444E+01,1.4493E+01,1.4900E+01,1.5037E+01,1.5048E+01,1.5193E+01,1.5211E+01,1.5307E+01,1.5375E+01,1.5379E+01,1.5497E+01,1.5540E+01,1.5549E+01,1.5555E+01,1.5563E+01,1.5849E+01,1.5948E+01,1.4205E+01
1.4815E-01,1.1757E+01,1.1833E+01,1.1932E+01,1.2037E+01,1.3116E+01,1.3285E+01,1.3304E+01,1.3362E+01,1.3381E+01,1.3482E+01,1.3492E+01,1.3511E+01,1.3537E+01,1.3689E+01,1.4054E+01,1.4073E+01,1.4112E+01,1.4188E+01,1.4222E+01,1.4272E+01,1.4277E+01,1.4299E+01,1.4308E+01,1.4362E+01,1.4423E+01,1.4443E+01,1.4445E+01,1.4450E+01,1.4464E+01,1.4513E+01,1.4920E+01,1.5057E+01,1.5068E+01,1.5213E+01,1.5231E+01,1.5327E+01,1.5395E+01,1.5399E+01,1.5517E+01,1.5560E+01,1.5569E+01,1.5575E+01,1.5583E+01,1.5869E+01,1.5969E+01,1.4225E+01
1.6815E-01,1.1778E+01,1.1854E+01,1.1953E+01,1.2058E+01,1.3137E+01,1.3306E+01,1.3325E+01,1.3383E+01,1.3402E+01,1.3503E+01,1.3513E+01,1.3532E+01,1.3558E+01,1.3710E+01,1.4075E+01,1.4094E+01,1.4133E+01,1.4209E+01,1.4243E+01,1.4293E+01,1.4298E+01,1.4320E+01,1.4329E+01,1.4383E+01,1.4444E+01,1.4464E+01,1.4466E+01,1.4471E+01,1.4485E+01,1.4534E+01,1.4941E+01,1.5078E+01,1.5089E+01,1.5234E+01,1.5252E+01,1.5348E+01,1.5416E+01,1.5420E+01,1.5538E+01,1.5581E+01,1.5590E+01,1.5596E+01,1.5604E+01,1.5890E+01,1.5990E+01,1.4246E+01
1.8850E-01,1.1800E+01,1.1876E+01,1.1975E+01,1.2080E+01,1.3159E+01,1.3328E+01,1.3347E+01,1.3405E+01,1.3424E+01,1.3525E+01,1.3535E+01,1.3554E+01,1.3580E+01,1.3732E+01,1.4097E+01,1.4116E+01,1.4155E+01,1.4231E+01,1.4265E+01,1.4315E+01,1.4320E+01,1.4342E+01,1.4351E+01,1.4405E+01,1.4466E+01,1.4486E+01,1.4488E+01,1.4493E+01,1.4507E+01,1.4556E+01,1.4963E+01,1.5100E+01,1.5111E+01,1.5256E+01,1.5274E+01,1.5370E+01,1.5438E+01,1.5442E+01,1.5560E+01,1.5603E+01,1.5612E+01,1.5618E+01,1.5626E+01,1.5912E+01,1.6011E+01,1.4268E+01
2.0921E-01,1.1822E+01,1.1898E+01,1.1997E+01,1.2102E+01,1.3181E+01,1.3350E+01,1.3369E+01,1.3427E+01,1.3446E+01,1.3547E+01,1.3557E+01,1.3576E+01,1.3602E+01,1.3754E+01,1.4119E+01,1.4138E+01,1.4177E+01,1.4253E+01,1.4287E+01,1.4337E+01,1.4342E+01,1.4364E+01,1.4373E+01,1.4427E+01,1.4488E+01,1.4508E+01,1.4510E+01,1.4515E+01,1.4529E+01,1.4578E+01,1.4985E+01,1.5122E+01,1.5133E+01,1.5278E+01,1.5296E+01,1.5392E+01,1.5460E+01,1.5464E+01,1.5582E+01,1.5625E+01,1.5634E+01,1.5640E+01,1.5648E+01,1.5934E+01,1.6033E+01,1.4290E+01
2.3027E-01,1.1844E+01,1.1920E+01,1.2019E+01,1.2124E+01,1.3203E+01,1.3372E+01,1.3391E+01,1.3449E+01,1.3468E+01,1.3569E+01,1.3579E+01,1.3598E+01,1.3624E+01,1.3776E+01,1.4141E+01,1.4160E+01,1.4199E+01,1.4275E+01,1.4309E+01,1.4359E+01,1.4364E+01,1.4386E+01,1.4395E+01,1.4449E+01,1.4510E+01,1.4530E+01,1.4532E+01,1.4537E+01,1.4551E+01,1.4600E+01,1.5007E+01,1.5144E+01,1.5155E+01,1.5300E+01,1.5318E+01,1.5414E+01,1.5482E+01,1.5486E+01,1.5604E+01,1.5647E+01,1.5656E+01,1.5662E+01,1.5670E+01,1.5956E+01,1.6055E+01,1.4312E+01
2.5170E-01,1.1866E+01,1.1942E+01,1.2041E+01,1.2146E+01,1.3225E+01,1.3394E+01,1.3413E+01,1.3471E+01,1.3490E+01,1.3591E+01,1.3601E+01,1.3620E+01,1.3646E+01,1.3798E+01,1.4163E+01,1.4182E+01,1.4221E+01,1.4297E+01,1.4331E+01,1.4381E+01,1.4386E+01,1.4408E+01,1.4417E+01,1.4471E+01,1.4532E+01,1.4552E+01,1.4554E+01,1.4559E+01,1.4573E+01,1.4622E+01,1.5029E+01,1.5166E+01,1.5177E+01,1.5322E+01,1.5340E+01,1.5436E+01,1.5504E+01,1.5508E+01,1.5626E+01,1.5669E+01,1.5678E+01,1.5684E+01,1.5692E+01,1.5978E+01,1.6078E+01,1.4334E+01
2.7350E-01,1.1889E+01,1.1965E+01,1.2064E+01,1.2169E+01,1.3248E+01,1.3417E+01,1.3436E+01,1.3494E+01,1.3513E+01,1.3614E+01,1.3624E+01,1.3643E+01,1.3669E+01,1.3821E+01,1.4186E+01,1.4205E+01,1.4244E+01,1.4320E+01,1.4354E+01,1.4404E+01,1.4409E+01,1.4431E+01,1.4440E+01,1.4494E+01,1.4555E+01,1.4575E+01,1.4577E+01,1.4582E+01,1.4596E+01,1.4645E+01,1.5052E+01,1.5189E+01,1.5200E+01,1.5345E+01,1.5363E+01,1.5459E+01,1.5527E+01,1.5531E+01,1.5649E+01,1.5692E+01,1.5701E+01,1.5707E+01,1.5715E+01,1.6001E+01,1.6101E+01,1.4357E+01
2.9569E-01,1.1913E+01,1.1989E+01,1.2088E+01,1.2193E+01,1.3272E+01,1.3441E+01,1.3460E+01,1.3518E+01,1.3537E+01,1.3638E+01,1.3648E+01,1.3667E+01,1.3693E+01,1.3845E+01,1.4210E+01,1.4229E+01,1.4268E+01,1.4344E+01,1.4378E+01,1.4428E+01,1.4433E+01,1.4455E+01,1.4464E+01,1.4518E+01,1.4579E+01,1.4599E+01,1.4601E+01,1.4606E+01,1.4620E+01,1.4669E+01,1.5076E+01,1.5213E+01,1.5224E+01,1.5369E+01,1.5387E+01,1.5483E+01,1.5551E+01,1.5555E+01,1.5673E+01,1.5716E+01,1.5725E+01,1.5731E+01,1.5739E+01,1.6025E+01,1.6124E+01,1.4381E+01
3.1826E-01,1.1936E+01,1.2012E+01,1.2111E+01,1.2216E+01,1.3295E+01,1.3464E+01,1.3483E+01,1.3541E+01,1.3560E+01,1.3661E+01,1.3671E+01,1.3690E+01,1.3716E+01,1.3868E+01,1.4233E+01,1.4252E+01,1.4291E+01,1.4367E+01,1.4401E+01,1.4451E+01,1.4456E+01,1.4478E+01,1.4487E+01,1.4541E+01,1.4602E+01,1.4622E+01,1.4624E+01,1.4629E+01,1.4643E+01,1.4692E+01,1.5099E+01,1.5236E+01,1.5247E+01,1.5392E+01,1.5410E+01,1.5506E+01,1.5574E+01,1.5578E+01,1.5696E+01,1.5739E+01,1.5748E+01,1.5754E+01,1.5762E+01,1.6048E+01,1.6148E+01,1.4404E+01
3.4122E-01,1.1961E+01,1.2037E+01,1.2136E+01,1.2241E+01,1.3320E+01,1.3489E+01,1.3508E+01,1.3566E+01,1.3585E+01,1.3686E+01,1.3696E+01,1.3715E+01,1.3741E+01,1.3893E+01,1.4258E+01,1.4277E+01,1.4316E+01,1.4392E+01,1.4426E+01,1.4476E+01,1.4481E+01,1.4503E+01,1.4512E+01,1.4566E+01,1.4627E+01,1.4647E+01,1.4649E+01,1.4654E+01,1.4668E+01,1.4717E+01,1.5124E+01,1.5261E+01,1.5272E+01,1.5417E+01,1.5435E+01,1.5531E+01,1.5599E+01,1.5603E+01,1.5721E+01,1.5764E+01,1.5773E+01,1.5779E+01,1.5787E+01,1.6073E+01,1.6172E+01,1.4429E+01
3.6458E-01,1.1985E+01,1.2061E+01,1.2160E+01,1.2265E+01,1.3344E+01,1.3513E+01,1.3532E+01,1.3590E+01,1.3609E+01,1.3710E+01,1.3720E+01,1.3739E+01,1.3765E+01,1.3917E+01,1.4282E+01,1.4301E+01,1.4340E+01,1.4416E+01,1.4450E+01,1.4500E+01,1.4505E+01,1.4527E+01,1.4536E+01,1.4590E+01,1.4651E+01,1.4671E+01,1.4673E+01,1.4678E+01,1.4692E+01,1.4741E+01,1.5148E+01,1.5285E+01,1.5296E+01,1.5441E+01,1.5459E+01,1.5555E+01,1.5623E+01,1.5627E+01,1.5745E+01,1.5788E+01,1.5797E+01,1.5803E+01,1.5811E+01,1.6097E+01,1.6197E+01,1.4453E+01
