p0,% r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
2.6664,222.0338091,13.23043714,3.06E+14,7.55E+14,1.25E+15,1.76E+15,2.29E+15
2.6664,222.0346041,33.07609286,4.96E+14,1.25E+15,2.08E+15,2.95E+15,3.85E+15
2.6664,222.0352157,26.46087429,4.36E+14,1.09E+15,1.82E+15,2.58E+15,3.36E+15
2.6664,222.0359639,19.84565571,3.73E+14,9.27E+14,1.54E+15,2.18E+15,2.83E+15
2.6664,222.0371635,39.69131143,5.40E+14,1.36E+15,2.27E+15,3.23E+15,4.22E+15
2.6664,222.0478902,46.30653,5.71E+14,1.44E+15,2.41E+15,3.43E+15,4.48E+15
2.6664,222.0719987,52.92174857,5.81E+14,1.47E+15,2.46E+15,3.50E+15,4.57E+15
2.6664,222.1283981,59.53696714,5.68E+14,1.44E+15,2.41E+15,3.43E+15,4.48E+15
2.6664,222.2186075,66.15001941,5.34E+14,1.35E+15,2.26E+15,3.21E+15,4.20E+15
2.6664,222.4395307,105.4395307,7.82E+13,1.96E+14,3.27E+14,4.64E+14,6.06E+14
2.6664,222.5422056,100.173341,1.74E+14,4.26E+14,7.00E+14,9.87E+14,1.28E+15
2.6664,222.7694565,72.56101639,4.13E+14,1.04E+15,1.73E+15,2.46E+15,3.21E+15
2.6664,223.0397924,95.58106078,2.07E+14,5.03E+14,8.25E+14,1.16E+15,1.51E+15
2.6664,223.0625116,1.24E-16,1.47E+14,3.51E+14,5.71E+14,7.98E+14,1.03E+15
2.6664,223.0699481,6.615218572,1.83E+14,4.44E+14,7.26E+14,1.02E+15,1.32E+15
2.6664,223.0748593,13.23043714,2.23E+14,5.47E+14,9.01E+14,1.27E+15,1.65E+15
2.6664,223.0753753,33.07609286,3.43E+14,8.62E+14,1.44E+15,2.04E+15,2.66E+15
2.6664,223.0757722,26.46087429,3.05E+14,7.64E+14,1.27E+15,1.80E+15,2.34E+15
2.6664,223.0762578,19.84565571,2.65E+14,6.58E+14,1.09E+15,1.54E+15,2.00E+15
2.6664,223.0770364,39.69131143,3.71E+14,9.36E+14,1.56E+15,2.22E+15,2.90E+15
2.6664,223.0839983,46.30653,3.90E+14,9.88E+14,1.65E+15,2.35E+15,3.07E+15
2.6664,223.0996454,52.92174857,3.98E+14,1.01E+15,1.69E+15,2.40E+15,3.14E+15
2.6664,223.1362502,59.53696714,3.91E+14,9.90E+14,1.66E+15,2.36E+15,3.08E+15
2.6664,223.1947986,66.15001941,3.72E+14,9.39E+14,1.57E+15,2.23E+15,2.92E+15
2.6664,223.338184,106.338184,6.90E+13,1.68E+14,2.75E+14,3.87E+14,5.01E+14
2.6664,223.3739695,78.326359,2.79E+14,6.85E+14,1.13E+15,1.59E+15,2.07E+15
2.6664,223.4048228,100.7494249,1.42E+14,3.42E+14,5.58E+14,7.83E+14,1.01E+15
2.6664,223.576144,91.63855729,1.72E+14,4.07E+14,6.59E+14,9.20E+14,1.19E+15
2.6664,223.631029,72.56101639,2.83E+14,7.05E+14,1.17E+15,1.66E+15,2.16E+15
2.6664,223.7969447,95.89446184,1.65E+14,3.93E+14,6.38E+14,8.93E+14,1.15E+15
2.6664,223.8108883,7.60E-17,1.17E+14,2.77E+14,4.47E+14,6.22E+14,8.00E+14
2.6664,223.8154524,6.615218572,1.41E+14,3.36E+14,5.47E+14,7.65E+14,9.87E+14
2.6664,223.8184666,13.23043714,1.66E+14,4.01E+14,6.57E+14,9.22E+14,1.19E+15
2.6664,223.8187832,33.07609286,2.38E+14,5.93E+14,9.85E+14,1.40E+15,1.82E+15
2.6664,223.8190269,26.46087429,2.16E+14,5.33E+14,8.83E+14,1.25E+15,1.62E+15
2.6664,223.8193249,19.84565571,1.91E+14,4.69E+14,7.72E+14,1.09E+15,1.41E+15
2.6664,223.8198027,39.69131143,2.55E+14,6.38E+14,1.06E+15,1.51E+15,1.97E+15
2.6664,223.8240756,46.30653,2.67E+14,6.71E+14,1.12E+15,1.59E+15,2.08E+15
2.6664,223.8336788,52.92174857,2.72E+14,6.85E+14,1.14E+15,1.63E+15,2.12E+15
2.6664,223.8561445,59.53696714,2.69E+14,6.77E+14,1.13E+15,1.61E+15,2.10E+15
2.6664,223.892078,66.15001941,2.60E+14,6.52E+14,1.09E+15,1.54E+15,2.01E+15
2.6664,223.9800791,106.9800791,6.90E+13,1.64E+14,2.65E+14,3.70E+14,4.76E+14
2.6664,224.0209779,101.1609134,1.24E+14,2.95E+14,4.78E+14,6.67E+14,8.59E+14
2.6664,224.246438,72.56101639,2.03E+14,4.95E+14,8.15E+14,1.15E+15,1.49E+15
2.6664,224.3224873,78.326359,1.72E+14,4.07E+14,6.59E+14,9.18E+14,1.18E+15
2.6664,224.3377677,96.11831974,1.38E+14,3.24E+14,5.21E+14,7.25E+14,9.32E+14
2.6664,224.3454431,4.19E-17,9.72E+13,2.25E+14,3.60E+14,4.99E+14,6.39E+14
2.6664,224.3479554,6.615218572,1.12E+14,2.63E+14,4.22E+14,5.87E+14,7.54E+14
2.6664,224.3496146,13.23043714,1.27E+14,3.02E+14,4.88E+14,6.81E+14,8.77E+14
2.6664,224.3497889,33.07609286,1.69E+14,4.12E+14,6.77E+14,9.53E+14,1.24E+15
2.6664,224.349923,26.46087429,1.56E+14,3.78E+14,6.19E+14,8.69E+14,1.12E+15
2.6664,224.3500871,19.84565571,1.42E+14,3.41E+14,5.55E+14,7.77E+14,1.00E+15
2.6664,224.3503501,39.69131143,1.79E+14,4.38E+14,7.22E+14,1.02E+15,1.32E+15
2.6664,224.3527021,46.30653,1.87E+14,4.58E+14,7.56E+14,1.07E+15,1.39E+15
2.6664,224.3579883,52.92174857,1.90E+14,4.68E+14,7.73E+14,1.09E+15,1.42E+15
2.6664,224.3703548,59.53696714,1.91E+14,4.67E+14,7.71E+14,1.09E+15,1.42E+15
2.6664,224.3901347,66.15001941,1.86E+14,4.56E+14,7.51E+14,1.06E+15,1.38E+15
2.6664,224.4067267,91.80365558,1.34E+14,3.11E+14,4.98E+14,6.90E+14,8.85E+14
2.6664,224.4385757,107.4385757,7.41E+13,1.74E+14,2.79E+14,3.87E+14,4.96E+14
2.6664,224.4610888,101.4548337,1.13E+14,2.65E+14,4.26E+14,5.91E+14,7.59E+14
2.6664,224.6860158,72.56101639,1.46E+14,3.42E+14,5.51E+14,7.66E+14,9.85E+14
2.6664,224.7240699,96.27821824,1.20E+14,2.76E+14,4.40E+14,6.08E+14,7.78E+14
2.6664,224.727268,1.74E-17,8.33E+13,1.89E+14,3.00E+14,4.12E+14,5.25E+14
2.6664,224.7283148,6.615218572,9.26E+13,2.11E+14,3.35E+14,4.62E+14,5.89E+14
2.6664,224.7290061,13.23043714,1.02E+14,2.33E+14,3.71E+14,5.12E+14,6.55E+14
2.6664,224.7290787,33.07609286,1.25E+14,2.91E+14,4.67E+14,6.48E+14,8.31E+14
2.6664,224.7291346,26.46087429,1.18E+14,2.73E+14,4.38E+14,6.06E+14,7.78E+14
2.6664,224.729203,19.84565571,1.10E+14,2.54E+14,4.06E+14,5.61E+14,7.18E+14
2.6664,224.7293126,39.69131143,1.30E+14,3.05E+14,4.90E+14,6.81E+14,8.75E+14
2.6664,224.7302926,46.30653,1.35E+14,3.16E+14,5.09E+14,7.08E+14,9.10E+14
2.6664,224.7324951,52.92174857,1.38E+14,3.24E+14,5.22E+14,7.26E+14,9.33E+14
2.6664,224.7376478,59.53696714,1.39E+14,3.27E+14,5.27E+14,7.33E+14,9.42E+14
2.6664,224.7458894,66.15001941,1.39E+14,3.26E+14,5.25E+14,7.30E+14,9.39E+14
2.6664,224.7660732,107.7660732,8.21E+13,1.91E+14,3.05E+14,4.21E+14,5.39E+14
2.6664,224.7754537,101.6647769,1.07E+14,2.46E+14,3.93E+14,5.43E+14,6.95E+14
2.6664,225,0,7.38E+13,1.65E+14,2.58E+14,3.52E+14,4.47E+14
2.6664,225,6.615218572,7.95E+13,1.77E+14,2.77E+14,3.78E+14,4.80E+14
2.6664,225,13.23043714,8.47E+13,1.89E+14,2.95E+14,4.02E+14,5.10E+14
2.6664,225,19.84565571,8.93E+13,1.99E+14,3.10E+14,4.23E+14,5.36E+14
2.6664,225,26.46087429,9.33E+13,2.08E+14,3.24E+14,4.42E+14,5.60E+14
2.6664,225,33.07609286,9.69E+13,2.16E+14,3.37E+14,4.59E+14,5.82E+14
2.6664,225,39.69131143,1.00E+14,2.23E+14,3.48E+14,4.75E+14,6.01E+14
2.6664,225,46.30653,1.03E+14,2.29E+14,3.59E+14,4.89E+14,6.20E+14
2.6664,225,52.92174857,1.05E+14,2.35E+14,3.68E+14,5.02E+14,6.36E+14
2.6664,225,59.53696714,1.07E+14,2.40E+14,3.76E+14,5.14E+14,6.52E+14
2.6664,225,66.15001941,1.09E+14,2.45E+14,3.84E+14,5.25E+14,6.66E+14
2.6664,225,72.56101639,1.10E+14,2.48E+14,3.90E+14,5.33E+14,6.78E+14
2.6664,225,78.326359,1.11E+14,2.51E+14,3.94E+14,5.40E+14,6.86E+14
2.6664,225,83.2,1.14E+14,2.56E+14,4.04E+14,5.54E+14,7.04E+14
2.6664,225,87.8,1.13E+14,2.56E+14,4.03E+14,5.53E+14,7.04E+14
2.6664,225,91.92158293,1.09E+14,2.48E+14,3.92E+14,5.38E+14,6.86E+14
2.6664,225,96.39243145,1.07E+14,2.44E+14,3.86E+14,5.30E+14,6.76E+14
2.6664,225,101.8147362,1.03E+14,2.35E+14,3.73E+14,5.14E+14,6.56E+14
2.6664,225,108,9.33E+13,2.15E+14,3.42E+14,4.72E+14,6.04E+14
3.9997,0,0,1.35E+14,2.83E+14,4.34E+14,5.85E+14,7.35E+14
3.9997,0,0.258390454,3.68E+14,8.54E+14,1.37E+15,1.90E+15,2.43E+15
3.9997,0,0.620137089,1.00E+15,2.34E+15,3.74E+15,5.15E+15,6.57E+15
3.9997,0,1.126582378,2.19E+15,4.81E+15,7.43E+15,1.01E+16,1.27E+16
3.9997,0,1.835605782,4.06E+15,8.45E+15,1.28E+16,1.71E+16,2.14E+16
3.9997,0,2.828238549,6.69E+15,1.36E+16,2.03E+16,2.70E+16,3.36E+16
3.9997,0,4.594050799,1.15E+16,2.28E+16,3.38E+16,4.48E+16,5.56E+16
3.9997,0,7.493953556,1.94E+16,3.81E+16,5.63E+16,7.42E+16,9.20E+16
3.9997,0,11.69169824,3.06E+16,5.97E+16,8.79E+16,1.16E+17,1.43E+17
3.9997,0,19.06657191,4.97E+16,9.63E+16,1.42E+17,1.86E+17,2.30E+17
3.9997,0,28.32417332,7.11E+16,1.37E+17,2.01E+17,2.64E+17,3.26E+17
3.9997,0,38.85257872,9.04E+16,1.74E+17,2.54E+17,3.33E+17,4.11E+17
3.9997,0,47.25481549,1.00E+17,1.92E+17,2.81E+17,3.67E+17,4.53E+17
3.9997,0,54.00065546,1.03E+17,1.97E+17,2.88E+17,3.77E+17,4.65E+17
3.9997,0,60.74685042,1.01E+17,1.94E+17,2.84E+17,3.72E+17,4.59E+17
3.9997,0,69.35626511,9.33E+16,1.79E+17,2.63E+17,3.44E+17,4.25E+17
3.9997,0,80.40561449,7.18E+16,1.39E+17,2.03E+17,2.67E+17,3.30E+17
3.9997,0,89.69560361,5.08E+16,9.85E+16,1.45E+17,1.90E+17,2.35E+17
3.9997,0,96.44802976,3.28E+16,6.37E+16,9.38E+16,1.23E+17,1.53E+17
3.9997,0,100.7895543,2.06E+16,4.02E+16,5.92E+16,7.80E+16,9.66E+16
3.9997,0,103.05152,1.41E+16,2.75E+16,4.06E+16,5.36E+16,6.64E+16
3.9997,0,105.3134856,7.65E+15,1.51E+16,2.23E+16,2.95E+16,3.65E+16
3.9997,0,106.2563771,5.04E+15,1.00E+16,1.49E+16,1.97E+16,2.44E+16
3.9997,0,106.9298711,3.17E+15,6.37E+15,9.50E+15,1.26E+16,1.57E+16
3.9997,0,107.4109382,1.89E+15,3.82E+15,5.73E+15,7.62E+15,9.50E+15
3.9997,0,107.7545576,1.03E+15,2.05E+15,3.06E+15,4.05E+15,5.04E+15
3.9997,0,108,5.64E+14,1.09E+15,1.59E+15,2.09E+15,2.58E+15
3.9997,3.973150503,4.002719909,9.99E+15,1.99E+16,2.96E+16,3.93E+16,4.88E+16
3.9997,4.568829957,5.992545412,1.55E+16,3.06E+16,4.53E+16,5.98E+16,7.42E+16
3.9997,5.189005082,9.720912242,2.57E+16,5.01E+16,7.40E+16,9.75E+16,1.21E+17
3.9997,5.277939828,104.2292593,1.08E+16,2.12E+16,3.14E+16,4.14E+16,5.13E+16
3.9997,5.365570751,16.15244298,4.26E+16,8.28E+16,1.22E+17,1.60E+17,1.98E+17
3.9997,5.420442549,23.84512276,6.14E+16,1.19E+17,1.74E+17,2.29E+17,2.83E+17
3.9997,5.468068794,33.91598093,8.27E+16,1.59E+17,2.33E+17,3.06E+17,3.77E+17
3.9997,5.492516059,43.80711828,9.72E+16,1.87E+17,2.73E+17,3.57E+17,4.41E+17
3.9997,5.515561311,50.58949206,1.02E+17,1.96E+17,2.86E+17,3.75E+17,4.62E+17
3.9997,5.528953915,57.34132426,1.03E+17,1.97E+17,2.88E+17,3.77E+17,4.65E+17
3.9997,5.541928835,64.07740455,9.91E+16,1.90E+17,2.78E+17,3.64E+17,4.50E+17
3.9997,5.608358413,92.30942719,4.45E+16,8.63E+16,1.27E+17,1.67E+17,2.06E+17
3.9997,5.687819811,98.176899,2.83E+16,5.50E+16,8.11E+16,1.07E+17,1.32E+17
3.9997,5.712810543,70.93495596,9.14E+16,1.76E+17,2.57E+17,3.37E+17,4.16E+17
3.9997,5.744549729,84.94541048,6.27E+16,1.21E+17,1.78E+17,2.34E+17,2.89E+17
3.9997,6.678571429,0,1.35E+14,2.84E+14,4.34E+14,5.85E+14,7.36E+14
3.9997,6.678571429,0.258390454,3.72E+14,8.62E+14,1.38E+15,1.92E+15,2.46E+15
3.9997,6.678571429,0.620137089,1.02E+15,2.38E+15,3.79E+15,5.23E+15,6.67E+15
3.9997,6.678571429,1.126582378,2.23E+15,4.89E+15,7.56E+15,1.02E+16,1.29E+16
3.9997,6.678571429,1.835605782,4.13E+15,8.60E+15,1.30E+16,1.74E+16,2.18E+16
3.9997,6.678571429,2.828238549,6.83E+15,1.38E+16,2.07E+16,2.75E+16,3.42E+16
3.9997,6.801637181,102.0471011,1.73E+16,3.37E+16,4.97E+16,6.55E+16,8.12E+16
3.9997,6.818181818,105.3134856,7.87E+15,1.55E+16,2.29E+16,3.03E+16,3.76E+16
3.9997,6.818181818,106.2563771,5.17E+15,1.03E+16,1.53E+16,2.02E+16,2.50E+16
3.9997,6.818181818,106.9298711,3.25E+15,6.53E+15,9.75E+15,1.29E+16,1.61E+16
3.9997,6.818181818,107.4109382,1.94E+15,3.92E+15,5.88E+15,7.82E+15,9.74E+15
3.9997,6.818181818,107.7545576,1.05E+15,2.10E+15,3.13E+15,4.16E+15,5.17E+15
3.9997,6.818181818,108,5.78E+14,1.11E+15,1.63E+15,2.14E+15,2.65E+15
3.9997,8.300116187,4.304322671,1.11E+16,2.20E+16,3.26E+16,4.32E+16,5.37E+16
3.9997,10.08818968,7.991418363,2.10E+16,4.12E+16,6.09E+16,8.03E+16,9.95E+16
3.9997,10.75704013,12.94774001,3.44E+16,6.69E+16,9.86E+16,1.30E+17,1.61E+17
3.9997,10.82693674,19.64261275,5.14E+16,9.97E+16,1.46E+17,1.93E+17,2.38E+17
3.9997,10.86446425,99.3931873,2.48E+16,4.83E+16,7.11E+16,9.36E+16,1.16E+17
3.9997,10.8954825,29.35728728,7.38E+16,1.42E+17,2.09E+17,2.74E+17,3.39E+17
3.9997,10.99997165,39.30960523,9.15E+16,1.76E+17,2.57E+17,3.37E+17,4.16E+17
3.9997,11.02330089,47.18662535,1.00E+17,1.92E+17,2.81E+17,3.68E+17,4.54E+17
3.9997,11.04723056,53.93880914,1.03E+17,1.98E+17,2.89E+17,3.78E+17,4.66E+17
3.9997,11.06738978,60.67236825,1.01E+17,1.95E+17,2.85E+17,3.73E+17,4.60E+17
3.9997,11.10052145,67.37333597,9.57E+16,1.84E+17,2.69E+17,3.53E+17,4.35E+17
3.9997,11.15482991,74.32859031,8.53E+16,1.64E+17,2.41E+17,3.16E+17,3.90E+17
3.9997,11.15570146,88.52024597,5.49E+16,1.06E+17,1.56E+17,2.06E+17,2.54E+17
3.9997,11.21644389,94.80864666,3.77E+16,7.33E+16,1.08E+17,1.42E+17,1.76E+17
3.9997,12.14567834,104.0967709,1.15E+16,2.25E+16,3.32E+16,4.38E+16,5.43E+16
3.9997,13.35714286,0,1.35E+14,2.84E+14,4.35E+14,5.86E+14,7.38E+14
3.9997,13.35714286,0.26150672,3.79E+14,8.78E+14,1.41E+15,1.95E+15,2.50E+15
3.9997,13.35714286,0.627616128,1.05E+15,2.44E+15,3.89E+15,5.36E+15,6.84E+15
3.9997,13.35714286,1.140169299,2.30E+15,5.03E+15,7.77E+15,1.05E+16,1.32E+16
3.9997,13.35714286,1.857743739,4.25E+15,8.85E+15,1.34E+16,1.79E+16,2.24E+16
3.9997,13.35714286,2.862347955,7.03E+15,1.42E+16,2.13E+16,2.83E+16,3.52E+16
3.9997,13.63636364,105.2704965,8.11E+15,1.60E+16,2.37E+16,3.13E+16,3.88E+16
3.9997,13.63636364,106.228476,5.33E+15,1.06E+16,1.57E+16,2.08E+16,2.58E+16
3.9997,13.63636364,106.9127471,3.35E+15,6.72E+15,1.00E+16,1.33E+16,1.65E+16
3.9997,13.63636364,107.4015122,1.99E+15,4.03E+15,6.04E+15,8.03E+15,1.00E+16
3.9997,13.63636364,107.7506301,1.08E+15,2.15E+15,3.20E+15,4.25E+15,5.29E+15
3.9997,13.63636364,108,5.86E+14,1.13E+15,1.66E+15,2.18E+15,2.69E+15
3.9997,13.799169,102.3161445,1.66E+16,3.25E+16,4.79E+16,6.32E+16,7.83E+16
3.9997,14.68469236,5.990412773,1.55E+16,3.05E+16,4.52E+16,5.97E+16,7.41E+16
3.9997,14.92075556,4.123849469,1.05E+16,2.09E+16,3.11E+16,4.12E+16,5.12E+16
3.9997,16.20132093,15.6156802,4.15E+16,8.08E+16,1.19E+17,1.56E+17,1.94E+17
3.9997,16.28425077,25.46052923,6.53E+16,1.26E+17,1.86E+17,2.44E+17,3.01E+17
3.9997,16.45061064,35.38761098,8.52E+16,1.64E+17,2.40E+17,3.15E+17,3.89E+17
3.9997,16.51761143,43.78403129,9.70E+16,1.87E+17,2.73E+17,3.57E+17,4.41E+17
3.9997,16.56646812,50.54492574,1.02E+17,1.96E+17,2.86E+17,3.75E+17,4.63E+17
3.9997,16.58251274,57.28278356,1.03E+17,1.97E+17,2.88E+17,3.78E+17,4.66E+17
3.9997,16.60568687,63.98426552,9.91E+16,1.91E+17,2.79E+17,3.65E+17,4.51E+17
3.9997,16.78549587,10.33068056,2.74E+16,5.36E+16,7.91E+16,1.04E+17,1.29E+17
3.9997,16.8032401,72.15808959,8.91E+16,1.72E+17,2.52E+17,3.30E+17,4.07E+17
3.9997,17.02301516,90.74108286,4.87E+16,9.46E+16,1.39E+17,1.83E+17,2.27E+17
3.9997,17.05457552,83.56125852,6.60E+16,1.28E+17,1.88E+17,2.47E+17,3.05E+17
3.9997,17.1128794,97.64485933,3.00E+16,5.85E+16,8.62E+16,1.14E+17,1.41E+17
3.9997,19.60642418,103.942648,1.18E+16,2.31E+16,3.42E+16,4.51E+16,5.59E+16
3.9997,20.03571429,0,1.35E+14,2.85E+14,4.36E+14,5.88E+14,7.39E+14
3.9997,20.03571429,0.267739253,3.86E+14,8.96E+14,1.44E+15,1.99E+15,2.55E+15
3.9997,20.03571429,0.642574207,1.08E+15,2.51E+15,3.99E+15,5.49E+15,7.00E+15
3.9997,20.03571429,1.167343142,2.36E+15,5.15E+15,7.95E+15,1.07E+16,1.35E+16
3.9997,20.03571429,1.902019652,4.35E+15,9.04E+15,1.37E+16,1.83E+16,2.29E+16
3.9997,20.03571429,2.930566766,7.17E+15,1.45E+16,2.17E+16,2.88E+16,3.59E+16
3.9997,20.45454545,105.1845182,8.23E+15,1.62E+16,2.41E+16,3.18E+16,3.94E+16
3.9997,20.45454545,106.1726737,5.41E+15,1.08E+16,1.60E+16,2.11E+16,2.63E+16
3.9997,20.45454545,106.8784991,3.40E+15,6.83E+15,1.02E+16,1.35E+16,1.68E+16
3.9997,20.45454545,107.38266,2.01E+15,4.09E+15,6.12E+15,8.14E+15,1.01E+16
3.9997,20.45454545,107.742775,1.08E+15,2.16E+15,3.22E+15,4.27E+15,5.32E+15
3.9997,20.45454545,108,5.80E+14,1.12E+15,1.64E+15,2.16E+15,2.67E+15
3.9997,20.740539,6.310623065,1.65E+16,3.25E+16,4.81E+16,6.35E+16,7.88E+16
3.9997,20.92504924,101.6004888,1.86E+16,3.64E+16,5.37E+16,7.08E+16,8.77E+16
3.9997,21.02780909,14.2985228,3.77E+16,7.34E+16,1.08E+17,1.42E+17,1.76E+17
3.9997,21.12088286,4.249810813,1.08E+16,2.16E+16,3.21E+16,4.25E+16,5.28E+16
3.9997,21.45718387,20.36363595,5.32E+16,1.03E+17,1.52E+17,2.00E+17,2.47E+17
3.9997,21.81243782,93.1084828,4.22E+16,8.21E+16,1.21E+17,1.59E+17,1.97E+17
3.9997,21.89476054,30.40838715,7.58E+16,1.47E+17,2.15E+17,2.82E+17,3.49E+17
3.9997,22.01794544,40.39400138,9.29E+16,1.79E+17,2.62E+17,3.43E+17,4.24E+17
3.9997,22.0911926,60.63318709,1.01E+17,1.95E+17,2.85E+17,3.74E+17,4.61E+17
3.9997,22.11012152,47.16043654,9.99E+16,1.92E+17,2.81E+17,3.68E+17,4.54E+17
3.9997,22.11613456,67.27243813,9.56E+16,1.84E+17,2.70E+17,3.54E+17,4.37E+17
3.9997,22.11758918,53.91400434,1.03E+17,1.98E+17,2.89E+17,3.79E+17,4.67E+17
3.9997,22.78769228,76.42864911,8.13E+16,1.57E+17,2.31E+17,3.03E+17,3.74E+17
3.9997,23.4264714,86.32746183,5.98E+16,1.16E+17,1.71E+17,2.25E+17,2.78E+17
3.9997,23.81730986,9.831308632,2.60E+16,5.09E+16,7.52E+16,9.92E+16,1.23E+17
3.9997,24.09793451,97.74253442,2.95E+16,5.76E+16,8.49E+16,1.12E+17,1.39E+17
3.9997,26.388413,104.143458,1.13E+16,2.23E+16,3.29E+16,4.35E+16,5.39E+16
3.9997,26.71428571,0,1.36E+14,2.86E+14,4.38E+14,5.90E+14,7.42E+14
3.9997,26.71428571,0.274233792,3.94E+14,9.15E+14,1.47E+15,2.03E+15,2.60E+15
3.9997,26.71428571,0.6581611,1.11E+15,2.58E+15,4.10E+15,5.64E+15,7.18E+15
3.9997,26.71428571,1.195659331,2.42E+15,5.29E+15,8.15E+15,1.10E+16,1.39E+16
3.9997,26.71428571,1.948156855,4.46E+15,9.26E+15,1.40E+16,1.87E+16,2.34E+16
3.9997,26.71428571,3.001653388,7.33E+15,1.48E+16,2.22E+16,2.95E+16,3.68E+16
3.9997,27.08901844,6.369789011,1.66E+16,3.27E+16,4.85E+16,6.41E+16,7.95E+16
3.9997,27.13632652,16.9245958,4.47E+16,8.72E+16,1.28E+17,1.69E+17,2.09E+17
3.9997,27.27272727,105.0808367,8.61E+15,1.70E+16,2.52E+16,3.33E+16,4.14E+16
3.9997,27.27272727,106.1053815,5.65E+15,1.13E+16,1.67E+16,2.21E+16,2.75E+16
3.9997,27.27272727,106.8371993,3.54E+15,7.13E+15,1.06E+16,1.41E+16,1.76E+16
3.9997,27.27272727,107.3599262,2.09E+15,4.25E+15,6.37E+15,8.47E+15,1.06E+16
3.9997,27.27272727,107.7333026,1.11E+15,2.22E+15,3.32E+15,4.40E+15,5.48E+15
3.9997,27.27272727,108,5.86E+14,1.13E+15,1.66E+15,2.19E+15,2.71E+15
3.9997,27.40188863,93.08647554,4.24E+16,8.26E+16,1.22E+17,1.60E+17,1.99E+17
3.9997,27.41037123,25.22001168,6.45E+16,1.25E+17,1.84E+17,2.42E+17,2.99E+17
3.9997,27.44554796,78.53781471,7.69E+16,1.49E+17,2.19E+17,2.88E+17,3.56E+17
3.9997,27.55082698,63.91253859,9.87E+16,1.91E+17,2.79E+17,3.66E+17,4.52E+17
3.9997,27.60788411,70.38251209,9.12E+16,1.76E+17,2.59E+17,3.39E+17,4.19E+17
3.9997,27.65095943,57.25759699,1.02E+17,1.97E+17,2.89E+17,3.78E+17,4.67E+17
3.9997,27.70074578,43.785994,9.67E+16,1.86E+17,2.73E+17,3.58E+17,4.42E+17
3.9997,27.74443554,50.54570046,1.02E+17,1.96E+17,2.86E+17,3.75E+17,4.63E+17
3.9997,27.74820127,35.62453367,8.54E+16,1.65E+17,2.42E+17,3.17E+17,3.92E+17
3.9997,27.84701587,4.310626435,1.09E+16,2.18E+16,3.24E+16,4.29E+16,5.34E+16
3.9997,28.12140131,101.7950539,1.80E+16,3.53E+16,5.22E+16,6.89E+16,8.54E+16
3.9997,30.18093379,10.37415812,2.73E+16,5.35E+16,7.90E+16,1.04E+17,1.29E+17
3.9997,30.49025468,84.98470765,6.30E+16,1.23E+17,1.80E+17,2.37E+17,2.94E+17
3.9997,30.92617319,97.7914317,2.93E+16,5.74E+16,8.47E+16,1.12E+17,1.38E+17
3.9997,32.03383482,22.04578619,5.68E+16,1.11E+17,1.63E+17,2.14E+17,2.65E+17
3.9997,32.71445955,6.330161895,1.64E+16,3.24E+16,4.81E+16,6.35E+16,7.88E+16
3.9997,32.85158756,67.14465679,9.54E+16,1.85E+17,2.71E+17,3.55E+17,4.39E+17
3.9997,33.09931681,60.61414097,1.01E+17,1.95E+17,2.85E+17,3.74E+17,4.62E+17
3.9997,33.26797918,104.0618825,1.15E+16,2.26E+16,3.35E+16,4.43E+16,5.50E+16
3.9997,33.36740217,53.94028378,1.02E+17,1.97E+17,2.89E+17,3.79E+17,4.67E+17
3.9997,33.37268249,40.50885629,9.24E+16,1.79E+17,2.62E+17,3.44E+17,4.25E+17
3.9997,33.39285714,0,1.37E+14,2.88E+14,4.40E+14,5.93E+14,7.45E+14
3.9997,33.39285714,0.275281815,3.97E+14,9.22E+14,1.48E+15,2.04E+15,2.62E+15
3.9997,33.39285714,0.660676356,1.12E+15,2.60E+15,4.13E+15,5.68E+15,7.23E+15
3.9997,33.39285714,1.200228714,2.44E+15,5.32E+15,8.21E+15,1.11E+16,1.40E+16
3.9997,33.39285714,1.955602015,4.48E+15,9.32E+15,1.41E+16,1.89E+16,2.36E+16
3.9997,33.39285714,3.013124636,7.36E+15,1.49E+16,2.24E+16,2.97E+16,3.70E+16
3.9997,33.52204075,47.22066805,9.93E+16,1.92E+17,2.81E+17,3.68E+17,4.55E+17
3.9997,33.5299539,75.50029892,8.29E+16,1.61E+17,2.37E+17,3.11E+17,3.84E+17
3.9997,34.02684296,16.33874721,4.28E+16,8.37E+16,1.23E+17,1.62E+17,2.01E+17
3.9997,34.06986683,91.58529636,4.62E+16,9.02E+16,1.33E+17,1.75E+17,2.17E+17
3.9997,34.09090909,105.010024,8.77E+15,1.74E+16,2.58E+16,3.41E+16,4.23E+16
3.9997,34.09090909,106.0594221,5.76E+15,1.15E+16,1.71E+16,2.26E+16,2.81E+16
3.9997,34.09090909,106.8089922,3.61E+15,7.28E+15,1.09E+16,1.44E+16,1.80E+16
