p0,% r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
1.3332,10.86446425,99.3931873,3.74E+15,9.42E+15,1.5E+16,2.03E+16,2.55E+16
1.3332,10.8954825,29.35728728,1.04E+16,2.63E+16,4.19E+16,5.68E+16,7.13E+16
1.3332,10.99997165,39.30960523,1.28E+16,3.25E+16,5.17E+16,7.01E+16,8.79E+16
1.3332,11.02330089,47.18662535,1.4E+16,3.55E+16,5.64E+16,7.65E+16,9.59E+16
1.3332,11.04723056,53.93880914,1.44E+16,3.65E+16,5.8E+16,7.86E+16,9.85E+16
1.3332,11.06738978,60.67236825,1.42E+16,3.6E+16,5.72E+16,7.75E+16,9.72E+16
1.3332,11.10052145,67.37333597,1.35E+16,3.4E+16,5.4E+16,7.32E+16,9.18E+16
1.3332,11.15482991,74.32859031,1.21E+16,3.05E+16,4.84E+16,6.56E+16,8.23E+16
1.3332,11.15570146,88.52024597,7.94E+15,2E+16,3.17E+16,4.3E+16,5.39E+16
1.3332,11.21644389,94.80864666,5.56E+15,1.4E+16,2.22E+16,3.01E+16,3.78E+16
1.3332,12.14567834,104.0967709,1.85E+15,4.7E+15,7.48E+15,1.02E+16,1.28E+16
1.3332,13.35714286,0,7.08E+13,1.63E+14,2.58E+14,3.54E+14,4.52E+14
1.3332,13.35714286,0.26150672,1.1E+14,2.82E+14,4.68E+14,6.61E+14,8.58E+14
1.3332,13.35714286,0.627616128,1.85E+14,5.19E+14,8.9E+14,1.27E+15,1.66E+15
1.3332,13.35714286,1.140169299,3.25E+14,9.36E+14,1.6E+15,2.26E+15,2.93E+15
1.3332,13.35714286,1.857743739,5.71E+14,1.61E+15,2.69E+15,3.77E+15,4.83E+15
1.3332,13.35714286,2.862347955,9.51E+14,2.6E+15,4.27E+15,5.9E+15,7.51E+15
1.3332,13.63636364,105.2704965,1.38E+15,3.51E+15,5.59E+15,7.59E+15,9.54E+15
1.3332,13.63636364,106.228476,9.89E+14,2.53E+15,4.03E+15,5.47E+15,6.88E+15
1.3332,13.63636364,106.9127471,7.15E+14,1.83E+15,2.91E+15,3.96E+15,4.98E+15
1.3332,13.63636364,107.4015122,5.3E+14,1.34E+15,2.14E+15,2.9E+15,3.64E+15
1.3332,13.63636364,107.7506301,4.03E+14,1E+15,1.58E+15,2.14E+15,2.68E+15
1.3332,13.63636364,108,3.22E+14,7.82E+14,1.22E+15,1.65E+15,2.06E+15
1.3332,13.799169,102.3161445,2.58E+15,6.52E+15,1.04E+16,1.41E+16,1.77E+16
1.3332,14.68469236,5.990412773,2.15E+15,5.62E+15,9.07E+15,1.24E+16,1.57E+16
1.3332,14.92075556,4.123849469,1.44E+15,3.84E+15,6.24E+15,8.58E+15,1.09E+16
1.3332,16.20132093,15.6156802,5.85E+15,1.49E+16,2.38E+16,3.23E+16,4.07E+16
1.3332,16.28425077,25.46052923,9.18E+15,2.33E+16,3.71E+16,5.04E+16,6.33E+16
1.3332,16.45061064,35.38761098,1.19E+16,3.02E+16,4.81E+16,6.53E+16,8.19E+16
1.3332,16.51761143,43.78403129,1.36E+16,3.44E+16,5.46E+16,7.41E+16,9.29E+16
1.3332,16.56646812,50.54492574,1.43E+16,3.61E+16,5.74E+16,7.78E+16,9.75E+16
1.3332,16.58251274,57.28278356,1.44E+16,3.63E+16,5.77E+16,7.83E+16,9.82E+16
1.3332,16.60568687,63.98426552,1.39E+16,3.51E+16,5.58E+16,7.57E+16,9.49E+16
1.3332,16.78549587,10.33068056,3.85E+15,9.89E+15,1.58E+16,2.16E+16,2.72E+16
1.3332,16.8032401,72.15808959,1.26E+16,3.17E+16,5.04E+16,6.83E+16,8.57E+16
1.3332,17.02301516,90.74108286,7.07E+15,1.78E+16,2.82E+16,3.83E+16,4.81E+16
1.3332,17.05457552,83.56125852,9.45E+15,2.38E+16,3.77E+16,5.12E+16,6.43E+16
1.3332,17.1128794,97.64485933,4.47E+15,1.12E+16,1.79E+16,2.42E+16,3.04E+16
1.3332,19.60642418,103.942648,1.9E+15,4.8E+15,7.64E+15,1.04E+16,1.3E+16
1.3332,20.03571429,0,7.11E+13,1.64E+14,2.59E+14,3.55E+14,4.53E+14
1.3332,20.03571429,0.267739253,1.11E+14,2.85E+14,4.74E+14,6.69E+14,8.68E+14
1.3332,20.03571429,0.642574207,1.89E+14,5.29E+14,9.06E+14,1.3E+15,1.69E+15
1.3332,20.03571429,1.167343142,3.32E+14,9.55E+14,1.63E+15,2.31E+15,2.99E+15
1.3332,20.03571429,1.902019652,5.83E+14,1.64E+15,2.74E+15,3.84E+15,4.92E+15
1.3332,20.03571429,2.930566766,9.69E+14,2.64E+15,4.34E+15,6E+15,7.64E+15
1.3332,20.45454545,105.1845182,1.39E+15,3.54E+15,5.65E+15,7.67E+15,9.65E+15
1.3332,20.45454545,106.1726737,9.98E+14,2.55E+15,4.06E+15,5.53E+15,6.95E+15
1.3332,20.45454545,106.8784991,7.2E+14,1.84E+15,2.93E+15,3.99E+15,5.02E+15
1.3332,20.45454545,107.38266,5.31E+14,1.35E+15,2.14E+15,2.91E+15,3.65E+15
1.3332,20.45454545,107.742775,4.02E+14,9.98E+14,1.58E+15,2.13E+15,2.67E+15
1.3332,20.45454545,108,3.19E+14,7.74E+14,1.21E+15,1.63E+15,2.04E+15
1.3332,20.740539,6.310623065,2.29E+15,5.96E+15,9.61E+15,1.31E+16,1.66E+16
1.3332,20.92504924,101.6004888,2.86E+15,7.2E+15,1.14E+16,1.55E+16,1.95E+16
1.3332,21.02780909,14.2985228,5.3E+15,1.35E+16,2.16E+16,2.94E+16,3.7E+16
1.3332,21.12088286,4.249810813,1.49E+15,3.95E+15,6.41E+15,8.82E+15,1.12E+16
1.3332,21.45718387,20.36363595,7.47E+15,1.9E+16,3.02E+16,4.11E+16,5.17E+16
1.3332,21.81243782,93.1084828,6.15E+15,1.55E+16,2.46E+16,3.33E+16,4.19E+16
1.3332,21.89476054,30.40838715,1.06E+16,2.69E+16,4.28E+16,5.82E+16,7.31E+16
1.3332,22.01794544,40.39400138,1.3E+16,3.28E+16,5.22E+16,7.09E+16,8.9E+16
1.3332,22.0911926,60.63318709,1.41E+16,3.57E+16,5.68E+16,7.71E+16,9.67E+16
1.3332,22.11012152,47.16043654,1.39E+16,3.52E+16,5.6E+16,7.6E+16,9.54E+16
1.3332,22.11613456,67.27243813,1.34E+16,3.38E+16,5.38E+16,7.3E+16,9.16E+16
1.3332,22.11758918,53.91400434,1.43E+16,3.62E+16,5.76E+16,7.81E+16,9.81E+16
1.3332,22.78769228,76.42864911,1.15E+16,2.89E+16,4.59E+16,6.23E+16,7.83E+16
1.3332,23.4264714,86.32746183,8.57E+15,2.15E+16,3.42E+16,4.64E+16,5.84E+16
1.3332,23.81730986,9.831308632,3.64E+15,9.34E+15,1.5E+16,2.04E+16,2.58E+16
1.3332,24.09793451,97.74253442,4.38E+15,1.1E+16,1.75E+16,2.37E+16,2.98E+16
1.3332,26.388413,104.143458,1.82E+15,4.61E+15,7.34E+15,9.98E+15,1.26E+16
1.3332,26.71428571,0,7.15E+13,1.64E+14,2.6E+14,3.57E+14,4.55E+14
1.3332,26.71428571,0.274233792,1.13E+14,2.89E+14,4.8E+14,6.78E+14,8.8E+14
1.3332,26.71428571,0.6581611,1.92E+14,5.39E+14,9.24E+14,1.32E+15,1.73E+15
1.3332,26.71428571,1.195659331,3.4E+14,9.75E+14,1.66E+15,2.35E+15,3.05E+15
1.3332,26.71428571,1.948156855,5.97E+14,1.68E+15,2.8E+15,3.91E+15,5.01E+15
1.3332,26.71428571,3.001653388,9.89E+14,2.69E+15,4.42E+15,6.12E+15,7.78E+15
1.3332,27.08901844,6.369789011,2.3E+15,5.98E+15,9.64E+15,1.32E+16,1.67E+16
1.3332,27.13632652,16.9245958,6.27E+15,1.59E+16,2.55E+16,3.47E+16,4.36E+16
1.3332,27.27272727,105.0808367,1.44E+15,3.66E+15,5.83E+15,7.94E+15,9.99E+15
1.3332,27.27272727,106.1053815,1.03E+15,2.62E+15,4.18E+15,5.69E+15,7.16E+15
1.3332,27.27272727,106.8371993,7.38E+14,1.88E+15,3.01E+15,4.09E+15,5.15E+15
1.3332,27.27272727,107.3599262,5.41E+14,1.37E+15,2.18E+15,2.97E+15,3.73E+15
1.3332,27.27272727,107.7333026,4.06E+14,1.01E+15,1.6E+15,2.16E+15,2.71E+15
1.3332,27.27272727,108,3.2E+14,7.76E+14,1.22E+15,1.64E+15,2.05E+15
1.3332,27.40188863,93.08647554,6.16E+15,1.54E+16,2.46E+16,3.34E+16,4.2E+16
1.3332,27.41037123,25.22001168,9.01E+15,2.28E+16,3.64E+16,4.95E+16,6.23E+16
1.3332,27.44554796,78.53781471,1.08E+16,2.73E+16,4.34E+16,5.9E+16,7.41E+16
1.3332,27.55082698,63.91253859,1.38E+16,3.47E+16,5.53E+16,7.5E+16,9.43E+16
1.3332,27.60788411,70.38251209,1.28E+16,3.22E+16,5.12E+16,6.95E+16,8.73E+16
1.3332,27.65095943,57.25759699,1.42E+16,3.59E+16,5.72E+16,7.76E+16,9.75E+16
1.3332,27.70074578,43.785994,1.34E+16,3.4E+16,5.41E+16,7.35E+16,9.23E+16
1.3332,27.74443554,50.54570046,1.41E+16,3.57E+16,5.68E+16,7.71E+16,9.68E+16
1.3332,27.74820127,35.62453367,1.19E+16,3.01E+16,4.79E+16,6.51E+16,8.18E+16
1.3332,27.84701587,4.310626435,1.49E+15,3.96E+15,6.44E+15,8.86E+15,1.12E+16
1.3332,28.12140131,101.7950539,2.76E+15,6.96E+15,1.11E+16,1.51E+16,1.89E+16
1.3332,30.18093379,10.37415812,3.81E+15,9.75E+15,1.56E+16,2.14E+16,2.69E+16
1.3332,30.49025468,84.98470765,8.95E+15,2.25E+16,3.58E+16,4.86E+16,6.11E+16
1.3332,30.92617319,97.7914317,4.33E+15,1.09E+16,1.73E+16,2.35E+16,2.96E+16
1.3332,32.03383482,22.04578619,7.92E+15,2.01E+16,3.21E+16,4.37E+16,5.5E+16
1.3332,32.71445955,6.330161895,2.26E+15,5.88E+15,9.5E+15,1.3E+16,1.65E+16
1.3332,32.85158756,67.14465679,1.33E+16,3.34E+16,5.32E+16,7.24E+16,9.1E+16
1.3332,33.09931681,60.61414097,1.4E+16,3.52E+16,5.61E+16,7.63E+16,9.59E+16
1.3332,33.26797918,104.0618825,1.84E+15,4.64E+15,7.4E+15,1.01E+16,1.27E+16
1.3332,33.36740217,53.94028378,1.41E+16,3.57E+16,5.69E+16,7.73E+16,9.71E+16
1.3332,33.37268249,40.50885629,1.28E+16,3.24E+16,5.16E+16,7.02E+16,8.82E+16
1.3332,33.39285714,0,7.2E+13,1.65E+14,2.61E+14,3.59E+14,4.58E+14
1.3332,33.39285714,0.275281815,1.13E+14,2.9E+14,4.83E+14,6.81E+14,8.84E+14
1.3332,33.39285714,0.660676356,1.93E+14,5.41E+14,9.27E+14,1.33E+15,1.73E+15
1.3332,33.39285714,1.200228714,3.41E+14,9.77E+14,1.66E+15,2.36E+15,3.06E+15
1.3332,33.39285714,1.955602015,5.99E+14,1.68E+15,2.8E+15,3.92E+15,5.03E+15
1.3332,33.39285714,3.013124636,9.92E+14,2.69E+15,4.42E+15,6.13E+15,7.8E+15
1.3332,33.52204075,47.22066805,1.37E+16,3.47E+16,5.53E+16,7.52E+16,9.45E+16
1.3332,33.5299539,75.50029892,1.16E+16,2.92E+16,4.65E+16,6.32E+16,7.95E+16
1.3332,34.02684296,16.33874721,5.97E+15,1.52E+16,2.43E+16,3.31E+16,4.17E+16
1.3332,34.06986683,91.58529636,6.64E+15,1.66E+16,2.65E+16,3.61E+16,4.54E+16
1.3332,34.09090909,105.010024,1.46E+15,3.69E+15,5.89E+15,8.03E+15,1.01E+16
1.3332,34.09090909,106.0594221,1.04E+15,2.64E+15,4.22E+15,5.75E+15,7.24E+15
1.3332,34.09090909,106.8089922,7.43E+14,1.89E+15,3.03E+15,4.12E+15,5.2E+15
