elastic(y),1s5(y),1s4(y),1s3(y),1s2(y),2p10(y),2p9(y),2p8(y),2p7(y),2p6(y),2p5(y),2p4(y),2p3(y),2p2(y),2p1(y),3d6(y),3d5(y),3d3(y),3d4!(y),3d4(y),3d1!!(y),2s5(y),2s4(y),3d1!(y),3d2(y),3s1!!!!(y),3s1!!(y),3s1!!!(y),2s3(y),2s2(y),3s1!(y),4d5(y),3s4(y),4d2(y),4s1!(y),3s2(y),5d5(y),4s4(y),5d2(y),6d5(y),5s1!(y),4s2(y),5s4(y),6d2(y),high(y),ion(y),avg(y)
,1.0013E-25,,1.9997E-26,,5.3425E-25,8.4494E-25,,3.9215E-25,,,3.9744E-25,,1.5721E-25,,5.0767E-26,,2.1810E-25,1.9439E-25,5.7466E-25,7.5047E-25,7.5045E-25,,,,1.0496E-25,6.7997E-26,,,,,,,,,,,,,,,,,,,,3.4386E-25
,9.5227E-26,,1.9017E-26,,5.1672E-25,8.1719E-25,,3.6641E-25,,,3.7137E-25,,1.4687E-25,,4.8292E-26,,2.0745E-25,1.8492E-25,5.3714E-25,7.2580E-25,7.2578E-25,,,,9.9842E-26,6.4683E-26,,,,,,,,,,,,,,,,,,,,3.2845E-25
,9.0558E-26,,1.8085E-26,,4.9975E-25,7.9034E-25,,3.4235E-25,,,3.4700E-25,,1.3720E-25,,4.5936E-26,,1.9732E-25,1.7590E-25,5.0204E-25,7.0193E-25,7.0192E-25,,,,9.4970E-26,6.1529E-26,,,,,,,,,,,,,,,,,,,,3.1379E-25
,8.6115E-26,,1.7198E-26,,4.8333E-25,7.6435E-25,,3.1985E-25,,,3.2422E-25,,1.2817E-25,,4.3694E-26,,1.8768E-25,1.6732E-25,4.6922E-25,6.7884E-25,6.7882E-25,,,,9.0333E-26,5.8527E-26,,,,,,,,,,,,,,,,,,,,2.9984E-25
,8.1889E-26,,1.6355E-26,,4.6744E-25,7.3921E-25,,2.9882E-25,,,3.0292E-25,,1.1973E-25,,4.1560E-26,,1.7851E-25,1.5915E-25,4.3851E-25,6.5649E-25,6.5648E-25,,,,8.5921E-26,5.5670E-26,,,,,,,,,,,,,,,,,,,,2.8658E-25
,7.7868E-26,,1.5552E-26,,4.5207E-25,7.1488E-25,,2.7917E-25,,,2.8300E-25,,1.1184E-25,,3.9529E-26,,1.6977E-25,1.5137E-25,4.0980E-25,6.3487E-25,6.3485E-25,,,,8.1721E-26,5.2950E-26,,,,,,,,,,,,,,,,,,,,2.7395E-25
,7.4043E-26,,1.4788E-26,,4.3719E-25,6.9134E-25,,2.6079E-25,,,2.6439E-25,,1.0447E-25,,3.7597E-26,,1.6147E-25,1.4398E-25,3.8295E-25,6.1395E-25,6.1393E-25,,,,7.7725E-26,5.0363E-26,,,,,,,,,,,,,,,,,,,,2.6193E-25
,7.0404E-26,,1.4062E-26,,4.2279E-25,6.6856E-25,,2.4362E-25,,,2.4699E-25,,,,3.5757E-26,,1.5356E-25,1.3693E-25,3.5784E-25,5.9370E-25,5.9369E-25,,,,7.3922E-26,4.7900E-26,,,,,,,,,,,,,,,,,,,,2.6141E-25
,6.6942E-26,,1.3371E-26,,4.0886E-25,6.4652E-25,,2.2757E-25,,,2.3073E-25,,,,3.4007E-26,,1.4604E-25,1.3023E-25,3.3437E-25,5.7412E-25,5.7411E-25,,,,7.0303E-26,4.5556E-26,,,,,,,,,,,,,,,,,,,,2.5019E-25
,6.3649E-26,,1.2713E-26,,3.9539E-25,6.2520E-25,,2.1258E-25,,,2.1554E-25,,,,3.2342E-26,,1.3888E-25,1.2386E-25,3.1242E-25,5.5517E-25,5.5516E-25,,,,6.6859E-26,4.3326E-26,,,,,,,,,,,,,,,,,,,,2.3951E-25
,6.0516E-26,,1.2088E-26,,3.8235E-25,6.0457E-25,,1.9856E-25,,,2.0133E-25,,,,3.0757E-26,,1.3207E-25,1.1779E-25,2.9190E-25,5.3684E-25,5.3683E-25,,,,6.3583E-26,4.1204E-26,,,,,,,,,,,,,,,,,,,,2.2931E-25
,5.7537E-26,,1.1493E-26,,3.6973E-25,5.8461E-25,,,,,1.8806E-25,,,,2.9249E-26,,1.2559E-25,1.1202E-25,2.7272E-25,5.1911E-25,5.1909E-25,,,,6.0465E-26,3.9185E-26,,,,,,,,,,,,,,,,,,,,2.2222E-25
,5.4702E-26,,1.0927E-26,,3.5753E-25,5.6530E-25,,,,,,,,,2.7815E-26,,1.1942E-25,1.0653E-25,2.5479E-25,5.0195E-25,5.0194E-25,,,,5.7499E-26,3.7264E-26,,,,,,,,,,,,,,,,,,,,2.1631E-25
,5.2007E-26,,1.0389E-26,,3.4572E-25,5.4663E-25,,,,,,,,,2.6450E-26,,1.1356E-25,1.0130E-25,2.3803E-25,4.8535E-25,4.8534E-25,,,,5.4677E-26,3.5436E-26,,,,,,,,,,,,,,,,,,,,2.0791E-25
,4.9443E-26,,9.8768E-27,,3.3430E-25,5.2856E-25,,,,,,,,,2.5151E-26,,1.0798E-25,9.6329E-26,2.2236E-25,4.5377E-25,4.5376E-25,,,,5.1993E-26,3.3697E-26,,,,,,,,,,,,,,,,,,,,1.9727E-25
,4.7005E-26,,9.3899E-27,,3.2325E-25,5.1107E-25,,,,,,,,,2.3916E-26,,1.0267E-25,9.1599E-26,2.0772E-25,4.2421E-25,4.2420E-25,,,,4.9438E-26,3.2042E-26,,,,,,,,,,,,,,,,,,,,1.8721E-25
,4.4686E-26,,8.9268E-27,,3.1256E-25,4.9416E-25,,,,,,,,,2.2741E-26,,9.7622E-26,8.7099E-26,1.9404E-25,3.9656E-25,3.9655E-25,,,,4.7009E-26,3.0468E-26,,,,,,,,,,,,,,,,,,,,1.7770E-25
,4.2480E-26,,8.4864E-27,,3.0222E-25,4.7781E-25,,,,,,,,,2.1623E-26,,9.2819E-26,8.2818E-26,,3.7069E-25,3.7068E-25,,,,4.4697E-26,2.8971E-26,,,,,,,,,,,,,,,,,,,,1.6757E-25
,4.0383E-26,,8.0675E-27,,2.9222E-25,4.6198E-25,,,,,,,,,2.0559E-26,,8.8251E-26,7.8746E-26,,3.4648E-25,3.4648E-25,,,,4.2499E-26,2.7546E-26,,,,,,,,,,,,,,,,,,,,1.5938E-25
,3.8388E-26,,7.6692E-27,,2.8254E-25,4.4668E-25,,,,,,,,,1.9548E-26,,8.3905E-26,7.4872E-26,,3.2385E-25,3.2384E-25,,,,4.0407E-26,2.6191E-26,,,,,,,,,,,,,,,,,,,,1.5163E-25
,3.6491E-26,,7.2903E-27,,2.7318E-25,4.1755E-25,,,,,,,,,1.8585E-26,,7.9771E-26,7.1188E-26,,3.0267E-25,3.0267E-25,,,,3.8418E-26,2.4903E-26,,,,,,,,,,,,,,,,,,,,1.4297E-25
,3.4687E-26,,6.9301E-27,,2.6413E-25,3.9031E-25,,,,,,,,,1.7670E-26,,7.5840E-26,6.7683E-26,,2.8287E-25,2.8286E-25,,,,3.6525E-26,2.3676E-26,,,,,,,,,,,,,,,,,,,,1.3483E-25
,3.2972E-26,,6.5875E-27,,2.4690E-25,3.6482E-25,,,,,,,,,1.6800E-26,,7.2101E-26,6.4349E-26,,2.6435E-25,2.6434E-25,,,,3.4725E-26,2.2510E-26,,,,,,,,,,,,,,,,,,,,1.2640E-25
,3.1341E-26,,6.2618E-27,,2.3078E-25,3.4098E-25,,,,,,,,,1.5972E-26,,6.8544E-26,6.1178E-26,,2.4703E-25,2.4703E-25,,,,3.3014E-26,2.1401E-26,,,,,,,,,,,,,,,,,,,,1.1850E-25
,2.9790E-26,,5.9520E-27,,2.1571E-25,3.1868E-25,,,,,,,,,1.5184E-26,,6.5162E-26,5.8162E-26,,2.3083E-25,2.3083E-25,,,,3.1385E-26,2.0346E-26,,,,,,,,,,,,,,,,,,,,1.1109E-25
,2.8316E-26,,5.6575E-27,,2.0161E-25,2.9782E-25,,,,,,,,,1.4435E-26,,6.1945E-26,5.5294E-26,,2.1569E-25,2.1569E-25,,,,2.9837E-26,1.9343E-26,,,,,,,,,,,,,,,,,,,,1.0415E-25
,2.6913E-26,,5.3775E-27,,1.8842E-25,2.7832E-25,,,,,,,,,1.3723E-26,,5.8886E-26,5.2565E-26,,2.0154E-25,2.0153E-25,,,,2.8364E-26,1.8389E-26,,,,,,,,,,,,,,,,,,,,9.7639E-26
,2.5580E-26,,5.1112E-27,,1.7608E-25,2.6008E-25,,,,,,,,,1.3045E-26,,5.5977E-26,4.9971E-26,,1.8830E-25,1.8830E-25,,,,2.6964E-26,1.7481E-26,,,,,,,,,,,,,,,,,,,,9.1535E-26
,2.4313E-26,,4.8580E-27,,1.6455E-25,2.4303E-25,,,,,,,,,1.2401E-26,,5.3211E-26,4.7504E-26,,1.7593E-25,1.7593E-25,,,,2.5632E-26,1.6618E-26,,,,,,,,,,,,,,,,,,,,8.5816E-26
,2.3108E-26,,4.6173E-27,,1.5377E-25,2.2709E-25,,,,,,,,,1.1788E-26,,5.0581E-26,4.5157E-26,,1.6436E-25,1.6436E-25,,,,2.4366E-26,1.5797E-26,,,,,,,,,,,,,,,,,,,,8.0454E-26
,2.1962E-26,,4.3884E-27,,1.4368E-25,2.1218E-25,,,,,,,,,1.1206E-26,,4.8079E-26,4.2926E-26,,1.5355E-25,1.5355E-25,,,,2.3161E-26,1.5017E-26,,,,,,,,,,,,,,,,,,,,7.5427E-26
,2.0873E-26,,4.1708E-27,,1.3425E-25,1.9824E-25,,,,,,,,,1.0652E-26,,4.5701E-26,4.0804E-26,,1.4345E-25,1.4344E-25,,,,2.2016E-26,1.4274E-26,,,,,,,,,,,,,,,,,,,,7.0716E-26
,1.9837E-26,,3.9640E-27,,1.2544E-25,1.8521E-25,,,,,,,,,1.0125E-26,,4.3439E-26,3.8786E-26,,1.3400E-25,1.3400E-25,,,,2.0927E-26,1.3568E-26,,,,,,,,,,,,,,,,,,,,6.6300E-26
,1.8853E-26,,3.7673E-27,,1.1720E-25,1.7304E-25,,,,,,,,,9.6238E-27,,4.1288E-26,3.6868E-26,,1.2517E-25,1.2517E-25,,,,1.9891E-26,1.2897E-26,,,,,,,,,,,,,,,,,,,,6.2161E-26
,1.7917E-26,,3.5804E-27,,1.0949E-25,1.6165E-25,,,,,,,,,9.1475E-27,,3.9244E-26,3.5043E-26,,,,,,,1.8907E-26,1.2259E-26,,,,,,,,,,,,,,,,,,,,4.5249E-26
,1.7027E-26,,3.4026E-27,,1.0229E-25,1.5101E-25,,,,,,,,,8.6946E-27,,3.7300E-26,3.3309E-26,,,,,,,1.7971E-26,1.1652E-26,,,,,,,,,,,,,,,,,,,,4.2517E-26
,1.6182E-26,,3.2337E-27,,9.5561E-26,1.4107E-25,,,,,,,,,8.2640E-27,,3.5451E-26,3.1660E-26,,,,,,,1.7080E-26,1.1075E-26,,,,,,,,,,,,,,,,,,,,3.9953E-26
,1.5378E-26,,3.0731E-27,,8.9270E-26,1.3178E-25,,,,,,,,,7.8546E-27,,3.3694E-26,3.0091E-26,,,,,,,1.6234E-26,1.0527E-26,,,,,,,,,,,,,,,,,,,,3.7545E-26
,1.4614E-26,,2.9204E-27,,8.3391E-26,1.2309E-25,,,,,,,,,7.4653E-27,,3.2023E-26,2.8600E-26,,,,,,,1.5430E-26,1.0005E-26,,,,,,,,,,,,,,,,,,,,3.5282E-26
,1.3887E-26,,2.7753E-27,,7.7896E-26,1.1497E-25,,,,,,,,,7.0953E-27,,3.0435E-26,2.7183E-26,,,,,,,1.4665E-26,9.5094E-27,,,,,,,,,,,,,,,,,,,,3.3157E-26
,1.3197E-26,,2.6373E-27,,7.2761E-26,,,,,,,,,,6.7434E-27,,2.8925E-26,2.5835E-26,,,,,,,1.3937E-26,9.0379E-27,,,,,,,,,,,,,,,,,,,,2.1634E-26
,1.2540E-26,,2.5062E-27,,6.7963E-26,,,,,,,,,,6.4089E-27,,2.7489E-26,2.4554E-26,,,,,,,1.3246E-26,8.5897E-27,,,,,,,,,,,,,,,,,,,,2.0412E-26
,1.1916E-26,,2.3815E-27,,,,,,,,,,,,6.0909E-27,,2.6125E-26,2.3336E-26,,,,,,,1.2589E-26,8.1636E-27,,,,,,,,,,,,,,,,,,,,1.2943E-26
,1.1323E-26,,2.2630E-27,,,,,,,,,,,,5.7886E-27,,2.4827E-26,2.2178E-26,,,,,,,1.1964E-26,7.7585E-27,,,,,,,,,,,,,,,,,,,,1.2300E-26
,1.0760E-26,,2.1504E-27,,,,,,,,,,,,5.5012E-27,,2.3594E-26,2.1077E-26,,,,,,,1.1370E-26,7.3734E-27,,,,,,,,,,,,,,,,,,,,1.1689E-26
,1.0224E-26,,2.0434E-27,,,,,,,,,,,,5.2280E-27,,2.2422E-26,2.0030E-26,,,,,,,1.0805E-26,7.0073E-27,,,,,,,,,,,,,,,,,,,,1.1109E-26
,9.7151E-27,,1.9417E-27,,,,,,,,,,,,4.9683E-27,,2.1307E-26,1.9035E-26,,,,,,,1.0268E-26,6.6592E-27,,,,,,,,,,,,,,,,,,,,1.0556E-26
,9.2312E-27,,1.8450E-27,,,,,,,,,,,,4.7214E-27,,2.0248E-26,1.8090E-26,,,,,,,9.7578E-27,6.3284E-27,,,,,,,,,,,,,,,,,,,,1.0032E-26
,8.7713E-27,,1.7531E-27,,,,,,,,,,,,4.4867E-27,,1.9241E-26,1.7191E-26,,,,,,,9.2728E-27,6.0139E-27,,,,,,,,,,,,,,,,,,,,9.5328E-27
,8.3342E-27,,1.6657E-27,,,,,,,,,,,,4.2637E-27,,1.8284E-26,1.6336E-26,,,,,,,8.8117E-27,5.7150E-27,,,,,,,,,,,,,,,,,,,,9.0586E-27
,7.9188E-27,,1.5827E-27,,,,,,,,,,,,4.0516E-27,,1.7375E-26,1.5524E-26,,,,,,,8.3735E-27,5.4308E-27,,,,,,,,,,,,,,,,,,,,8.6081E-27
,7.5240E-27,,1.5038E-27,,,,,,,,,,,,3.8501E-27,,1.6510E-26,1.4752E-26,,,,,,,7.9569E-27,5.1607E-27,,,,,,,,,,,,,,,,,,,,8.1796E-27
,7.1489E-27,,1.4289E-27,,,,,,,,,,,,3.6585E-27,,1.5688E-26,1.4018E-26,,,,,,,7.5610E-27,4.9040E-27,,,,,,,,,,,,,,,,,,,,7.7725E-27
,6.7923E-27,,1.3576E-27,,,,,,,,,,,,3.4765E-27,,1.4907E-26,1.3320E-26,,,,,,,7.1846E-27,4.6600E-27,,,,,,,,,,,,,,,,,,,,7.3854E-27
,6.4535E-27,,1.2899E-27,,,,,,,,,,,,3.3034E-27,,1.4165E-26,1.2657E-26,,,,,,,6.8270E-27,4.4281E-27,,,,,,,,,,,,,,,,,,,,7.0177E-27
,6.1315E-27,,1.2256E-27,,,,,,,,,,,,3.1389E-27,,1.3459E-26,1.2027E-26,,,,,,,6.4870E-27,4.2076E-27,,,,,,,,,,,,,,,,,,,,6.6681E-27
,5.8255E-27,,1.1644E-27,,,,,,,,,,,,2.9826E-27,,1.2788E-26,1.1428E-26,,,,,,,6.1639E-27,3.9981E-27,,,,,,,,,,,,,,,,,,,,6.3358E-27
,5.5347E-27,,1.1063E-27,,,,,,,,,,,,2.8340E-27,,1.2151E-26,1.0859E-26,,,,,,,5.8568E-27,3.7990E-27,,,,,,,,,,,,,,,,,,,,6.0201E-27
,5.2584E-27,,1.0511E-27,,,,,,,,,,,,2.6928E-27,,1.1545E-26,1.0318E-26,,,,,,,5.5650E-27,3.6097E-27,,,,,,,,,,,,,,,,,,,,5.7200E-27
,4.9958E-27,,9.9861E-28,,,,,,,,,,,,2.5586E-27,,,9.8039E-27,,,,,,,,3.4298E-27,,,,,,,,,,,,,,,,,,,,4.3573E-27
,4.7463E-27,,9.4874E-28,,,,,,,,,,,,2.4311E-27,,,9.3153E-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3604E-27
,4.5092E-27,,9.0136E-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7053E-27
,4.2839E-27,,8.5633E-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5701E-27
