r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
0,54.00065546,1.97E+17,3.75E+17,5.49E+17,7.20E+17,8.89E+17
0,60.74685042,1.43E+16,3.60E+16,5.72E+16,7.75E+16,9.72E+16
0,60.74685042,5.64E+16,1.12E+17,1.65E+17,2.17E+17,2.68E+17
0,60.74685042,1.01E+17,1.94E+17,2.84E+17,3.72E+17,4.59E+17
0,60.74685042,1.48E+17,2.81E+17,4.11E+17,5.38E+17,6.64E+17
0,60.74685042,1.94E+17,3.71E+17,5.42E+17,7.11E+17,8.78E+17
0,69.35626511,1.32E+16,3.33E+16,5.29E+16,7.16E+16,8.98E+16
0,69.35626511,5.19E+16,1.04E+17,1.53E+17,2.00E+17,2.47E+17
0,69.35626511,9.33E+16,1.79E+17,2.63E+17,3.44E+17,4.25E+17
0,69.35626511,1.36E+17,2.60E+17,3.80E+17,4.98E+17,6.15E+17
0,69.35626511,1.79E+17,3.43E+17,5.02E+17,6.58E+17,8.14E+17
0,80.40561449,1.03E+16,2.59E+16,4.11E+16,5.57E+16,6.98E+16
0,80.40561449,4.00E+16,8.00E+16,1.18E+17,1.55E+17,1.92E+17
0,80.40561449,7.18E+16,1.39E+17,2.03E+17,2.67E+17,3.30E+17
0,80.40561449,1.05E+17,2.01E+17,2.95E+17,3.87E+17,4.78E+17
0,80.40561449,1.38E+17,2.65E+17,3.89E+17,5.12E+17,6.33E+17
0,89.69560361,7.40E+15,1.86E+16,2.95E+16,4.00E+16,5.02E+16
0,89.69560361,2.84E+16,5.70E+16,8.41E+16,1.11E+17,1.37E+17
0,89.69560361,5.08E+16,9.85E+16,1.45E+17,1.90E+17,2.35E+17
0,89.69560361,7.41E+16,1.43E+17,2.10E+17,2.76E+17,3.42E+17
0,89.69560361,9.79E+16,1.89E+17,2.78E+17,3.66E+17,4.53E+17
0,96.44802976,4.88E+15,1.23E+16,1.95E+16,2.64E+16,3.32E+16
0,96.44802976,1.84E+16,3.70E+16,5.47E+16,7.21E+16,8.92E+16
0,96.44802976,3.28E+16,6.37E+16,9.38E+16,1.23E+17,1.53E+17
0,96.44802976,4.78E+16,9.23E+16,1.36E+17,1.79E+17,2.22E+17
0,96.44802976,6.30E+16,1.22E+17,1.80E+17,2.37E+17,2.94E+17
0,100.7895543,3.16E+15,7.98E+15,1.27E+16,1.72E+16,2.16E+16
0,100.7895543,1.16E+16,2.35E+16,3.48E+16,4.58E+16,5.68E+16
0,100.7895543,2.06E+16,4.02E+16,5.92E+16,7.80E+16,9.66E+16
0,100.7895543,2.99E+16,5.80E+16,8.55E+16,1.13E+17,1.40E+17
0,100.7895543,3.94E+16,7.65E+16,1.13E+17,1.49E+17,1.85E+17
0,103.05152,2.24E+15,5.66E+15,8.99E+15,1.22E+16,1.53E+16
0,103.05152,8.02E+15,1.62E+16,2.41E+16,3.17E+16,3.93E+16
0,103.05152,1.41E+16,2.75E+16,4.06E+16,5.36E+16,6.64E+16
0,103.05152,2.04E+16,3.96E+16,5.84E+16,7.71E+16,9.56E+16
0,103.05152,2.68E+16,5.21E+16,7.70E+16,1.02E+17,1.26E+17
0,105.3134856,1.32E+15,3.36E+15,5.36E+15,7.27E+15,9.14E+15
0,105.3134856,4.45E+15,9.07E+15,1.35E+16,1.78E+16,2.21E+16
0,105.3134856,7.65E+15,1.51E+16,2.23E+16,2.95E+16,3.65E+16
0,105.3134856,1.09E+16,2.14E+16,3.18E+16,4.20E+16,5.21E+16
0,105.3134856,1.43E+16,2.81E+16,4.16E+16,5.50E+16,6.83E+16
0,106.2563771,9.50E+14,2.43E+15,3.87E+15,5.26E+15,6.61E+15
0,106.2563771,3.00E+15,6.16E+15,9.18E+15,1.21E+16,1.51E+16
0,106.2563771,5.04E+15,1.00E+16,1.49E+16,1.97E+16,2.44E+16
0,106.2563771,7.12E+15,1.41E+16,2.09E+16,2.77E+16,3.44E+16
0,106.2563771,9.25E+15,1.83E+16,2.72E+16,3.60E+16,4.48E+16
0,106.9298711,6.89E+14,1.76E+15,2.81E+15,3.82E+15,4.80E+15
0,106.9298711,1.96E+15,4.07E+15,6.09E+15,8.07E+15,1.00E+16
0,106.9298711,3.17E+15,6.37E+15,9.50E+15,1.26E+16,1.57E+16
0,106.9298711,4.38E+15,8.78E+15,1.31E+16,1.74E+16,2.17E+16
0,106.9298711,5.62E+15,1.13E+16,1.68E+16,2.24E+16,2.79E+16
0,107.4109382,5.12E+14,1.30E+15,2.07E+15,2.80E+15,3.52E+15
0,107.4109382,1.26E+15,2.62E+15,3.92E+15,5.20E+15,6.47E+15
0,107.4109382,1.89E+15,3.82E+15,5.73E+15,7.62E+15,9.50E+15
0,107.4109382,2.49E+15,5.06E+15,7.61E+15,1.01E+16,1.27E+16
0,107.4109382,3.10E+15,6.32E+15,9.53E+15,1.27E+16,1.59E+16
0,107.7545576,3.92E+14,9.74E+14,1.54E+15,2.08E+15,2.60E+15
0,107.7545576,7.85E+14,1.60E+15,2.38E+15,3.15E+15,3.91E+15
0,107.7545576,1.03E+15,2.05E+15,3.06E+15,4.05E+15,5.04E+15
0,107.7545576,1.23E+15,2.46E+15,3.69E+15,4.91E+15,6.12E+15
0,107.7545576,1.41E+15,2.86E+15,4.29E+15,5.73E+15,7.15E+15
0,108,3.13E+14,7.62E+14,1.19E+15,1.60E+15,2.00E+15
0,108,5.08E+14,1.01E+15,1.48E+15,1.94E+15,2.40E+15
0,108,5.64E+14,1.09E+15,1.59E+15,2.09E+15,2.58E+15
0,108,5.91E+14,1.13E+15,1.66E+15,2.19E+15,2.71E+15
0,108,6.06E+14,1.16E+15,1.71E+15,2.26E+15,2.79E+15
3.973150503,4.002719909,1.37E+15,3.67E+15,5.96E+15,8.20E+15,1.04E+16
3.973150503,4.002719909,5.48E+15,1.14E+16,1.72E+16,2.28E+16,2.84E+16
3.973150503,4.002719909,9.99E+15,1.99E+16,2.96E+16,3.93E+16,4.88E+16
3.973150503,4.002719909,1.47E+16,2.90E+16,4.30E+16,5.69E+16,7.08E+16
3.973150503,4.002719909,1.95E+16,3.83E+16,5.69E+16,7.54E+16,9.37E+16
